drug	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	ExactMolWt	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	FractionCSP3	HallKierAlpha	HeavyAtomCount	HeavyAtomMolWt	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	MaxAbsEStateIndex	MaxAbsPartialCharge	MaxEStateIndex	MaxPartialCharge	MinAbsEStateIndex	MinAbsPartialCharge	MinEStateIndex	MinPartialCharge	MolLogP	MolMR	MolWt	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRadicalElectrons	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	NumValenceElectrons	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	RingCount	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	qed
Dasatinib	1.4315929128906488	1111.432170715536	23.37166824125719	18.50713466000412	20.07956018695029	15.923055291019509	10.6586032841892	11.853064338126153	7.751415202594919	9.189264211261886	5.361898965339837	6.588407717104562	3.631779671573785	4.619262291617819	0.0	4.794537184071822	0.0	12.514061693864424	38.90574894371305	37.56033989318232	17.533629449547814	6.06636706846161	32.04657560476608	35.38533223255524	16.70746728507322	487.1557217520001	1.2121212121212122	2.0	2.727272727272727	0.3636363636363636	-2.79	33	461.80900000000025	33876609.84080048	23.37093502599184	10.429649853029732	5.772233374483719	201.00196040766056	12.693081800261478	0.3950445481992146	12.693081800261478	0.2669995457316883	0.1731179742277373	0.2669995457316883	-0.2666136091002893	-0.3950445481992146	3.313540000000002	132.04670000000002	488.01700000000034	3	9	0	1	1	1	2	3	9	3	11	0	7	0	1	1	174	20.64001433370385	22.337277247371283	5.131558479839333	0.0	5.907179729351506	0.0	9.6944469149223	14.951935562841626	0.0	0.0	35.07045990509047	25.47729295953985	38.790149098024486	23.513745124550884	4	9.901064578912528	51.29957580771172	0.0	19.851845293692104	0.0	13.847474399381248	54.86415093293893	51.74994834259907	0.0	0.0	15.53348693886314	22.454670310192952	0.0	22.93772576816725	70.19621641196011	0.0	13.847474399381248	21.05954036747004	30.46231184545952	5.022633313741326	0.0	0.0	106.51	0.0	7.457830513857925	30.97530056094894	16.24512659009515	1.488080397280827	1.8513633525950377	7.367072949316626	1.5315981931343652	8.028071887215573	0.0	0	1	1	0	0	3	0	0	0	0	1	1	0	1	0	5	2	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.4657173060978847
Taselisib	1.533681400175094	1391.8573408692098	24.19794165489026	19.980007465317534	19.980007465317534	16.145904176820626	11.282236080535078	11.282236080535078	9.320334030703592	9.320334030703592	6.135870230787201	6.135870230787201	4.024361124061394	4.024361124061394	11.446104981734852	4.794537184071822	0.0	6.041840829147961	13.151638370425491	45.60700779722313	0.0	24.72612090613951	42.19832848344679	33.59591618472189	15.454508951909444	460.233522136	1.1470588235294117	1.9411764705882355	2.676470588235294	0.375	-3.95	34	432.3180000000002	56852534.36964911	21.8727060921466	7.823849204277741	3.5486973949195164	196.93412853811364	11.800169337448512	0.4909377202682699	11.800169337448512	0.2443306865198894	0.1771684348411266	0.2443306865198894	-0.9201534150817507	-0.4909377202682699	3.174220000000001	127.03340000000004	460.5420000000002	2	10	0	1	1	1	3	4	9	1	10	0	5	0	0	0	176	15.03763007875359	35.23805604102848	5.824404497999927	5.907179729351506	0.0	0.0	9.476340119217006	14.6497599770396	10.197363616602075	0.0	6.06636706846161	52.31487162707333	23.99897946407111	18.305051469222647	5	9.53140013787187	5.907179729351506	0.0	34.09602617657822	5.733667477162185	52.74420848589699	6.606881964512918	42.61403641822399	0.0	39.7826032992232	10.470530430962237	0.0	5.749511833283905	0.0	46.61008787044264	16.87821884236774	6.923737199690624	39.56119412591039	36.78963192022405	0.0	34.0330914659393	0.0	118.67	11.67257174271533	0.0	21.34475752893748	8.882215891038683	8.112298076956186	2.61379717445936	6.1751028956624925	5.562041452720288	10.720548570843516	0.0	0	0	0	0	0	7	0	0	0	0	1	1	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4886019298975353
PD173074	1.902867447505823	1200.778186046054	27.70853153444066	23.64299128645884	23.64299128645884	18.149041465197943	13.119628357490775	13.119628357490775	10.082211576391416	10.082211576391416	6.030158843048106	6.030158843048106	4.006771575653559	4.006771575653559	5.538925252383345	4.794537184071822	0.0	6.031114512338072	34.47585443785405	49.97034457566411	0.0	26.482805722629752	38.9703128044567	44.66570698414514	14.457704428547306	523.3270881719999	0.9736842105263158	1.6578947368421053	2.263157894736842	0.5	-3.66	38	482.3540000000003	172117059.34861192	28.90424540563364	13.22920961853036	8.173431061862933	225.10127029616987	12.79498438963526	0.4966016836676884	12.79498438963526	0.3203233880386456	0.3601221712567659	0.3203233880386456	-0.4118745889349693	-0.4966016836676884	5.162900000000004	153.29209999999978	523.6820000000002	3	10	0	0	0	1	2	3	8	3	10	0	12	0	0	0	206	25.00721284646324	17.316886444402837	5.647177220767728	5.948339280986494	0.0	6.031114512338072	5.316788604006331	14.76249422596624	4.9839785209472085	0.0	13.847474399381248	77.00967675974343	35.2965680045324	14.219595082555069	3	14.26826309167192	28.83071800639212	0.0	25.16863389769843	0.0	52.99925449668848	51.03219791421803	30.462311845459517	0.0	22.6259266499618	25.42409171961909	16.560739242893344	11.49902366656781	0.0	71.8205057646189	0.0	0.0	47.46032924430513	30.462311845459517	0.0	22.160304418626517	0.0	113.53	10.907454614784903	0.0	29.05136616142159	9.8711219237972	1.5389071914973345	2.134096963429825	7.082330197377905	3.861133041693037	14.110884673038314	3.1927052329598915	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0.2789878451156773
Trametinib	1.9041474425189255	1785.490615130343	26.593129169275656	20.26357861026388	22.4210769014402	17.578295155867384	11.591018781120155	12.669767926708316	9.066378953908336	10.312011173095142	6.36424518853392	7.035236291860009	4.49959106680725	4.9527877997923575	22.625498029353388	23.568563783962105	0.0	39.92064603479611	27.78659806628454	0.0	39.805442262665096	37.255572541998674	22.590870627068057	10.633577208012662	0.0	615.077880436	1.0810810810810811	1.8108108108108107	2.45945945945946	0.2307692307692307	-3.7399999999999993	37	592.219	271183013.9177463	24.932467974676506	9.28755395660562	4.365407598815115	223.23806440459376	14.795061696223735	0.3384417945763914	14.795061696223735	0.3358740416193368	0.0804386337868483	0.3358740416193368	-0.5808116232412772	-0.3384417945763914	3.940120000000002	148.7573999999998	615.403	2	9	1	0	1	2	2	4	8	2	11	0	5	1	0	1	190	10.633577208012662	17.02130783334572	0.0	5.907179729351506	11.118533790104014	5.689743398203474	28.08491049558953	9.184952231746642	0.0	0.0	6.06636706846161	78.75445348338037	34.83427004896173	16.891473266983386	5	9.184952231746642	56.593610615702765	0.0	13.701298943374065	7.04767198267719	32.730958474381225	10.633577208012662	88.60731282356254	0.0	5.687386274683562	27.44185439632015	21.58305037487697	0.0	22.590870627068057	19.608478672725568	11.842209166749011	16.311140311801914	31.3706727663876	56.848181031446735	0.0	16.590311206764618	0.0	107.13	19.269684152139245	1.990888237314064	52.5723401775064	5.722519010423363	-0.3512667885083032	-0.7526054858771298	10.905917955611663	1.3449276764067526	2.9220973722072103	1.4954976927767332	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.3312388051900211
SB216763	2.0572589894120634	1095.9972028255872	17.714813991764817	13.138441275963146	14.650299168000055	11.96923425058676	7.569291321967213	8.325220267985669	5.828245283532774	6.671881190745365	4.297951704107086	4.845757815383124	3.2022768252348484	3.705261872319231	11.814359458703011	9.589074368143644	0.0	5.573104530069267	26.745274140945916	10.902924932081056	0.0	18.19910120538483	42.077083475928056	5.316788604006331	23.20187978046503	370.027582984	0.92	1.6	2.32	0.0526315789473684	-2.559999999999999	25	359.12699999999995	680504.6730467306	15.938160674023973	5.758544820180295	2.455774241354428	153.19800898863434	12.531840181545869	0.3499023004760495	12.531840181545869	0.2591387166138248	0.2666849332325527	0.2591387166138248	-0.4609660808767952	-0.3499023004760495	4.0523000000000025	99.3447	371.223	1	4	0	1	1	2	1	3	3	1	6	0	2	0	0	0	124	4.567099647791355	0.0	0.0	0.0	11.814359458703011	0.0	14.905862972149976	0.0	0.0	0.0	47.46734805431147	18.19910120538483	40.29697678350664	16.168842373879862	4	9.589074368143644	57.06537323138763	0.0	9.883888251797686	7.04767198267719	0.0	0.0	69.83358266172098	0.0	0.0	5.316788604006331	0.0	0.0	23.20187978046503	16.381459106494365	16.636746350820832	0.0	11.126902983393991	48.661413050844345	10.045266627482652	22.049133992219588	0.0	51.1	1.9254280570252795	12.235885390313149	24.99250549396713	4.060518918600328	2.743112717309147	-0.8893274439405392	12.572733807459484	1.84920948111755	0.0	1.898822467037354	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6912947858704493
Ribociclib	1.433048266808145	1095.1319192384735	22.078775022443736	18.712485728093743	18.712485728093743	15.597356788324024	11.38344542252332	11.38344542252332	8.773684614205694	8.773684614205694	6.36089514351327	6.36089514351327	4.678689877177838	4.678689877177838	0.0	4.794537184071822	0.0	5.907179729351506	23.501970882817943	55.7414565794184	12.84164324585202	25.192097267817932	18.32957770853629	36.13491069701052	4.9839785209472085	434.25425758000006	1.125	1.90625	2.59375	0.4782608695652174	-3.2	32	404.30800000000016	38961340.91442813	20.688756692444976	8.738936643266053	3.997802000788842	187.3967945811128	12.853349404985364	0.3677401923808754	12.853349404985364	0.2695506662236491	0.0050209786595627	0.2695506662236491	-0.0050209786595627	-0.3677401923808754	2.7964	125.65290000000005	434.5480000000002	2	9	1	1	2	0	3	3	8	2	9	0	5	1	1	2	168	25.00049631750497	17.158967993451217	0.0	5.948339280986494	5.907179729351506	0.0	4.794537184071822	9.967957041894415	4.9839785209472085	0.0	12.84164324585202	31.040744451236847	57.899278204230505	11.884229846296638	5	4.794537184071822	34.39416949808911	0.0	29.735733545489783	0.0	31.725127320852	50.491067923861486	36.286716343459446	0.0	0.0	15.533486938863138	17.453588333505085	0.0	0.0	70.60049425983965	0.0	0.0	42.21359249977229	30.59278834861098	0.0	11.033401435232523	0.0	91.21	2.1234573904448477	0.0	30.64806731693872	7.482140406643763	2.605792617434448	1.1828677370118916	6.251694992332688	8.177035839835158	3.9587342013905378	3.570209497967942	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6380121763709558
SCH772984	0.8969671955331897	1751.1925334423663	29.881893641878083	24.2641000367642	24.2641000367642	21.602489423773022	14.925088783467524	14.925088783467524	11.26553694661044	11.26553694661044	8.474973630710432	8.474973630710432	6.03102094632812	6.03102094632812	0.0	9.589074368143644	0.0	17.732265504864404	32.003430121650226	65.15361930035436	0.0	24.787374286452305	53.43084627854336	52.39864138207421	0.0	587.275721296	0.8636363636363636	1.6363636363636365	2.409090909090909	0.2727272727272727	-5.159999999999999	44	554.4240000000002	24951461555.018097	27.659878549243583	12.21530621572734	5.862949277988217	254.4956645282392	13.172214335051317	0.3679809721427887	13.172214335051317	0.2363719166401873	0.0215604826764812	0.2363719166401873	-0.1633149112842307	-0.3679809721427887	3.6911000000000014	168.7623999999996	587.6880000000002	2	11	0	2	2	2	3	5	8	2	11	0	7	0	2	2	222	15.116608065707286	5.693927994848461	5.824404497999927	11.814359458703011	0.0	0.0	24.571644428242365	9.967957041894415	5.098681808301038	0.0	0.0	73.62924871345469	85.39905606324108	17.97936316969023	7	9.589074368143644	34.09205694015119	0.0	34.94911864114466	5.917906046161393	6.4208216229260096	56.02999317624483	85.45104497106841	0.0	22.645235476242377	10.216698334856808	11.374772549367124	0.0	0.0	92.57677294123567	9.589074368143644	5.917906046161393	6.4208216229260096	85.45104497106841	0.0	33.54816040832343	0.0	123.23999999999998	0.0	0.0	45.38541253796186	11.540477351862876	5.522005330539056	0.6472916627992644	19.656004011393616	7.688122363731825	4.560686741711505	0.0	0	0	0	0	0	5	1	0	0	0	2	2	0	0	0	7	2	0	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.2956880632121502
AZD6482	1.782502530286341	1151.572966896397	21.250347897697548	16.96082853165462	16.96082853165462	14.435560745775549	9.89332024847714	9.89332024847714	7.435164704707515	7.435164704707515	5.243820198478407	5.243820198478407	3.7377134449609	3.7377134449609	5.969305287951849	14.69560176298435	0.0	17.164559215896965	43.4557030141373	11.126902983393991	0.0	40.92937352018292	24.813751198693332	5.316788604006331	9.720841474747257	408.179755248	1.2333333333333334	1.9666666666666663	2.7	0.3181818181818182	-3.39	30	384.2660000000002	6712628.0128408745	19.906147451486	8.155688549478157	3.860693675979929	173.2910180588976	12.83789882544437	0.4775834854032876	12.83789882544437	0.3372973445512717	0.14853893717981	0.3372973445512717	-0.9968996272075834	-0.4775834854032876	2.710820000000001	114.67000000000009	408.4580000000003	2	8	0	1	1	1	2	3	7	2	8	0	5	0	1	1	156	20.060088683497565	11.465039998602755	0.0	0.0	5.559266895052008	5.969305287951849	9.195231790333615	9.77851570501903	0.0	0.0	12.13273413692322	37.61002709646307	36.60356121828039	24.819056249870798	4	14.637927532712578	23.121731561238164	0.0	9.384673127209002	0.0	19.88931522852921	36.5199750757078	69.63920453659755	0.0	0.0	15.775965229908817	11.50524905251859	0.0	0.0	46.76378255085254	4.736862953800049	6.923737199690624	34.45046968800139	47.38958316645456	0.0	5.647177220767728	0.0	96.17	6.954246937254069	0.0	31.24102192891268	12.744632437008462	2.8605063512625755	-0.3658448380079526	10.033696236410671	1.7729927773578569	6.425414836468297	0.0	0	0	0	0	1	2	0	0	1	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6700364833304305
Temozolomide	2.9063248475824177	567.1956839082804	10.292528739883949	7.207265096806768	7.207265096806768	6.609060905280622	3.678568788802852	3.678568788802852	2.6466598556297707	2.6466598556297707	1.7322107424620343	1.7322107424620343	1.054941054361722	1.054941054361722	11.59692312755498	9.589074368143644	0.0	11.341105215616189	0.0	9.082497541406978	13.37499205744173	0.0	0.0	15.296045424903111	5.733667477162185	194.055223432	1.5714285714285714	2.2857142857142856	2.9285714285714284	0.1666666666666666	-2.25	14	188.106	2040.690705784967	8.352845059592465	2.6198926454093896	0.969381543705868	76.96785318779364	11.395483749055176	0.364134749518251	11.395483749055176	0.3521949644694161	0.06	0.3521949644694161	-0.740691609977324	-0.364134749518251	-2.0781	44.5409	194.154	2	8	0	0	0	0	2	2	7	1	8	0	1	0	0	0	72	5.733667477162185	6.3273200747645415	11.341105215616189	0.0	5.907179729351506	5.689743398203474	4.794537184071822	14.179210311280825	4.681802935145185	5.098681808301038	5.213385095654868	0.0	7.04767198267719	0.0	2	4.794537184071822	11.554356950119232	0.0	24.378542966310093	12.781339459839376	0.0	0.0	22.5055286518883	0.0	0.0	11.423410875365658	0.0	0.0	0.0	30.2857226956616	7.04767198267719	0.0	10.488465178920285	11.121857258836364	0.0	5.647177220767728	0.0	108.17	2.131494708994709	0.0	25.90685326908541	7.143055555555556	4.595841836734695	-0.740691609977324	0.0	1.1869444444444444	0.0	1.443168461829176	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560119173881169
Galunisertib	1.8259684891738757	1241.1448909349422	19.250347897697555	15.514575438729974	15.514575438729974	13.61419354072963	9.342872590430936	9.342872590430936	7.115896275000741	7.115896275000741	5.267511921553773	5.267511921553773	3.9868239343806926	3.9868239343806926	5.907179729351506	4.794537184071822	0.0	0.0	5.563451491696996	58.49801155178502	5.693927994848461	12.263210640074686	43.32193961046029	9.665781456092391	15.816327806410431	369.15896022800007	1.1785714285714286	2.071428571428572	2.892857142857143	0.1818181818181818	-3.54	28	350.27600000000007	4962579.32326893	16.62044611934542	6.265677933742757	2.568437792916498	161.59407769772437	11.730897422916724	0.3655991802952221	11.730897422916724	0.2482200016539451	0.4467478053485447	0.2482200016539451	-0.4467478053485447	-0.3655991802952221	3.5138200000000017	107.77090000000004	369.428	2	6	0	1	1	1	3	4	5	1	6	0	3	0	0	0	138	5.733667477162185	5.693927994848461	0.0	5.907179729351506	0.0	0.0	19.44429716111142	0.0	5.098681808301038	0.0	6.06636706846161	61.7270343480093	40.64258316508136	11.210628712464722	5	4.794537184071822	16.81010466143256	0.0	19.74844178534064	5.733667477162185	26.31013685145522	0.0	65.61272053223827	0.0	22.514758973090917	5.733667477162185	0.0	0.0	0.0	25.655621514692143	12.965578028838586	6.923737199690624	28.16666628839175	48.66141305084435	0.0	33.41768390517197	0.0	86.69	2.08222017510708	0.0	20.90090996805824	5.783462931468884	12.774197428703657	-0.4467478053485447	13.34487276955982	3.841227455488368	2.886523743629173	0.0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0.5985637476273391
