cell,drug1_db,drug2_db,synergy,synergistic
67,40,48,0,0
54,0,60,0,0
36,32,57,0,0
85,8,13,0,0
90,32,24,0,0
70,10,57,0,0
17,43,19,0,0
117,3,15,0,0
78,41,2,0,0
63,9,20,0,0
17,41,42,0,0
77,57,16,0,0
88,45,53,0,0
111,2,23,0,0
109,27,54,0,0
24,27,16,0,0
41,21,20,0,0
101,37,24,0,0
61,8,50,0,0
41,33,49,0,0
26,38,0,0,0
60,39,5,0,0
89,10,48,0,0
24,13,23,0,0
32,32,42,0,0
24,28,27,0,0
116,40,60,0,0
9,16,6,0,0
101,6,36,0,0
96,40,60,0,0
1,3,29,0,0
3,21,20,0,0
45,10,1,0,0
102,43,40,0,0
27,28,3,0,0
74,31,57,0,0
93,45,46,0,0
82,43,14,0,0
90,40,45,0,0
96,45,0,0,0
75,52,27,0,0
52,50,60,0,0
56,27,16,0,0
107,25,29,0,0
9,5,55,0,0
2,21,12,0,0
96,55,1,0,0
110,10,4,0,0
115,8,20,0,0
64,10,60,0,0
43,58,10,0,0
80,50,49,0,0
72,60,38,0,0
26,3,0,0,0
63,61,16,0,0
115,16,49,0,0
49,49,21,0,0
37,48,42,0,0
50,25,24,0,0
108,45,2,0,0
16,27,62,0,0
38,43,28,0,0
47,41,2,1,1
56,6,22,0,0
33,52,27,0,0
60,2,5,0,0
47,28,14,0,0
105,2,55,0,0
118,21,23,0,0
76,3,5,0,0
16,32,53,0,0
68,8,57,0,0
25,33,20,0,0
101,27,8,0,0
114,12,2,0,0
111,20,53,0,0
78,3,26,0,0
124,23,20,0,0
30,23,32,0,0
29,25,46,0,0
26,57,31,0,0
9,28,47,0,0
111,62,33,0,0
24,5,14,0,0
108,50,27,0,0
7,52,3,0,0
105,8,21,0,0
91,58,53,0,0
95,39,50,0,0
78,41,22,0,0
41,16,27,0,0
69,16,53,0,0
122,10,62,0,0
90,32,26,0,0
107,39,40,0,0
116,50,0,1,1
79,40,21,0,0
57,50,32,0,0
53,8,5,0,0
36,21,32,0,0
19,52,10,0,0
59,57,33,0,0
74,45,54,0,0
36,33,61,0,0
62,22,27,0,0
35,21,39,0,0
31,17,52,0,0
111,10,57,0,0
110,40,5,0,0
112,45,53,0,0
85,21,37,0,0
0,40,13,0,0
112,10,60,0,0
81,21,34,0,0
73,55,35,1,1
20,16,37,0,0
39,61,12,0,0
21,5,51,0,0
