cell,protein
AU565,10350
AU565,3897
AU565,7666
AU565,427
AU565,12164
AU565,10553
AU565,14461
AU565,8216
AU565,402
AU565,9554
AU565,2280
AU565,14666
AU565,10693
AU565,15960
AU565,13698
AU565,1256
AU565,1651
AU565,8610
AU565,16086
AU565,13661
AU565,12526
AU565,3788
AU565,15535
AU565,0
AU565,6308
AU565,15469
AU565,4305
AU565,3406
AU565,1904
AU565,17037
AU565,15810
AU565,12804
AU565,270
AU565,13967
AU565,8275
AU565,12544
AU565,14355
AU565,14396
AU565,1338
AU565,15042
AU565,6335
AU565,5107
AU565,1049
AU565,1073
AU565,9634
AU565,1370
AU565,1475
AU565,12654
AU565,10163
AU565,8115
AU565,11530
AU565,1318
AU565,703
AU565,5387
AU565,14800
AU565,10605
AU565,13555
AU565,14601
AU565,2905
AU565,7480
AU565,10759
AU565,3133
AU565,15901
AU565,13982
AU565,5102
AU565,15378
AU565,2
AU565,6053
AU565,9853
AU565,7778
AU565,848
AU565,14146
AU565,8103
AU565,9340
AU565,14002
AU565,9185
AU565,7899
AU565,8298
AU565,8708
AU565,11034
AU565,12021
AU565,9301
AU565,9143
AU565,8149
AU565,15481
AU565,15825
AU565,6928
AU565,15853
AU565,12008
AU565,9165
AU565,11561
AU565,9587
AU565,152
AU565,7414
AU565,10210
AU565,4688
AU565,6556
AU565,15272
AU565,4489
AU565,1405
AU565,3226
AU565,12360
AU565,6764
AU565,12394
AU565,6128
AU565,175
AU565,9067
AU565,9194
AU565,9040
AU565,9118
AU565,9139
AU565,9052
AU565,9080
AU565,9150
AU565,9183
AU565,9137
AU565,9091
AU565,9106
AU565,9074
AU565,1278
AU565,16170
AU565,168
AU565,15737
AU565,2420
AU565,15149
AU565,16708
AU565,10188
AU565,6814
AU565,5172
AU565,11430
AU565,4740
AU565,3838
AU565,13265
AU565,3452
AU565,10465
AU565,6554
AU565,14798
AU565,4700
AU565,10339
AU565,10089
AU565,4032
AU565,2732
AU565,16887
AU565,8106
AU565,5563
AU565,8467
AU565,15080
AU565,4505
AU565,736
AU565,15607
AU565,14345
AU565,2414
AU565,2872
AU565,2872
AU565,12126
AU565,5493
AU565,625
AU565,723
AU565,8232
AU565,8240
AU565,13574
AU565,16199
AU565,8231
AU565,14758
AU565,15123
AU565,13425
AU565,14608
AU565,2010
AU565,14775
AU565,8230
AU565,9200
AU565,15843
AU565,15850
AU565,8234
AU565,6423
AU565,1068
AU565,7903
AU565,3502
AU565,8236
AU565,10617
AU565,16426
AU565,11633
AU565,14018
AU565,3240
AU565,8229
AU565,5673
AU565,9981
AU565,14136
AU565,7725
AU565,10289
AU565,2391
AU565,14029
AU565,5493
AU565,10665
AU565,10779
AU565,9093
AU565,10409
AU565,15705
AU565,10219
AU565,11779
AU565,9650
AU565,10799
AU565,7924
AU565,8302
AU565,3161
AU565,10691
AU565,7925
AU565,4803
