cell,drug1_db,drug2_db,synergy,synergistic
6,55,28,0,0
26,40,12,0,0
117,0,8,0,0
37,22,6,0,0
68,53,60,1,1
3,27,12,0,0
63,10,3,0,0
44,54,17,0,0
56,4,25,0,0
109,41,22,0,0
64,15,31,0,0
107,18,30,0,0
100,42,55,0,0
18,51,53,0,0
100,5,10,0,0
49,55,40,0,0
54,42,26,0,0
38,53,44,0,0
15,42,3,0,0
82,40,23,0,0
5,13,56,0,0
35,34,25,0,0
41,10,32,1,1
74,26,30,0,0
85,54,19,0,0
11,59,47,0,0
79,4,56,0,0
68,31,19,0,0
11,37,17,0,0
24,19,34,0,0
15,42,46,0,0
96,10,61,0,0
62,8,30,0,0
35,8,14,0,0
67,42,18,0,0
104,31,3,0,0
33,29,2,0,0
22,9,0,0,0
73,13,30,0,0
15,5,23,0,0
10,38,58,0,0
39,5,47,0,0
49,4,7,0,0
71,15,53,0,0
64,15,18,0,0
46,3,7,0,0
93,4,12,0,0
40,30,45,0,0
104,31,28,0,0
105,56,58,0,0
120,18,16,0,0
39,56,28,0,0
122,3,8,0,0
47,5,55,0,0
0,22,0,0,0
11,53,38,0,0
116,12,52,0,0
123,40,2,0,0
30,55,4,0,0
115,12,32,0,0
123,40,27,0,0
105,40,54,0,0
69,12,33,0,0
114,4,22,0,0
84,18,31,0,0
32,25,58,0,0
39,56,48,0,0
82,3,30,0,0
74,12,32,0,0
105,31,8,0,0
2,40,53,0,0
54,18,23,0,0
13,14,23,0,0
115,18,0,0,0
115,42,30,0,0
77,15,1,0,0
54,14,10,0,0
23,18,26,0,0
4,40,20,0,0
12,39,61,1,1
28,39,24,0,0
120,11,10,0,0
75,5,32,0,0
36,32,8,0,0
11,27,40,0,0
27,0,12,0,0
15,12,58,0,0
26,30,15,0,0
8,30,3,1,1
97,42,53,0,0
10,3,44,0,0
62,12,41,0,0
29,55,4,0,0
98,14,41,0,0
24,61,23,0,0
39,42,2,0,0
34,18,43,0,0
14,38,53,0,0
38,13,55,0,0
22,34,5,0,0
6,23,18,0,0
106,18,15,0,0
39,29,21,0,0
44,42,17,0,0
96,18,42,0,0
95,32,42,0,0
20,13,40,0,0
105,53,58,0,0
113,30,22,0,0
14,40,53,0,0
3,6,56,0,0
66,25,31,0,0
120,30,34,0,0
16,54,58,0,0
31,12,55,0,0
79,6,27,0,0
77,27,15,0,0
80,22,7,0,0
62,15,7,0,0
25,42,1,0,0
79,23,45,0,0
20,12,56,0,0
53,18,46,0,0
32,15,32,0,0
97,32,38,1,1
109,22,0,0,0
89,13,25,0,0
94,40,4,0,0
123,29,27,1,1
25,12,54,0,0
105,53,43,0,0
121,6,62,0,0
64,12,36,0,0
86,15,10,0,0
70,12,40,0,0
61,51,53,0,0
24,32,34,0,0
69,19,42,0,0
94,40,59,0,0
94,39,40,0,0
79,40,19,0,0
97,23,38,0,0
58,7,55,0,0
21,37,32,0,0
18,25,30,0,0
59,56,1,0,0
77,37,33,0,0
29,18,30,0,0
19,25,56,0,0
84,56,7,1,1
117,8,41,0,0
