cell,drug1_db,drug2_db,synergy,synergistic
57,58,35,0,0
60,58,5,0,0
78,42,20,0,0
16,56,46,0,0
76,11,55,0,0
53,49,48,0,0
57,23,37,0,0
61,23,12,0,0
70,17,16,0,0
93,46,45,0,0
81,11,43,0,0
59,34,2,0,0
69,40,62,0,0
68,30,18,0,0
27,37,28,0,0
114,28,16,0,0
50,37,22,0,0
12,40,30,1,1
17,49,22,0,0
17,15,55,0,0
31,45,30,0,0
3,41,40,0,0
114,24,44,0,0
29,15,11,0,0
80,42,35,0,0
17,56,22,0,0
68,30,15,0,0
107,9,30,0,0
105,41,62,0,0
114,42,0,0,0
70,44,42,0,0
95,24,43,0,0
100,62,53,0,0
77,43,39,0,0
58,37,34,0,0
25,8,49,0,0
17,5,26,0,0
50,55,2,0,0
6,55,40,0,0
83,37,49,0,0
20,27,37,0,0
21,49,16,0,0
3,9,42,0,0
42,24,44,0,0
13,47,62,1,1
95,14,28,0,0
31,28,60,0,0
113,48,41,0,0
13,53,40,0,0
44,24,32,1,1
116,47,16,0,0
114,49,32,0,0
105,18,49,0,0
18,35,3,0,0
110,34,24,0,0
6,35,42,0,0
45,37,31,0,0
64,37,40,0,0
95,44,58,0,0
1,49,20,0,0
124,49,39,0,0
31,30,33,0,0
61,18,5,0,0
42,35,15,0,0
11,40,27,0,0
110,44,30,0,0
6,24,40,0,0
30,11,28,0,0
37,42,20,0,0
114,56,55,0,0
14,16,15,0,0
79,14,45,0,0
42,44,38,0,0
25,27,16,0,0
64,7,28,0,0
29,24,37,0,0
44,25,18,0,0
98,15,52,0,0
60,30,36,0,0
59,29,35,0,0
27,29,0,0,0
58,18,21,0,0
37,11,7,0,0
117,50,37,0,0
67,45,50,0,0
38,30,29,0,0
104,58,30,0,0
107,31,49,0,0
24,24,43,0,0
57,37,28,0,0
73,20,46,0,0
55,16,28,0,0
16,53,18,0,0
35,18,51,0,0
30,16,58,0,0
17,24,13,0,0
112,49,45,0,0
21,52,42,1,1
6,42,48,0,0
14,55,56,0,0
110,5,59,0,0
92,5,36,0,0
14,29,11,0,0
26,49,30,0,0
40,15,44,0,0
55,16,39,0,0
95,44,29,0,0
22,40,27,0,0
26,48,7,0,0
123,46,42,0,0
19,50,57,0,0
42,29,16,0,0
12,55,37,0,0
41,49,45,0,0
61,58,25,0,0
6,15,28,1,1
99,11,34,0,0
50,45,24,0,0
33,15,25,0,0
109,30,27,0,0
44,18,20,0,0
61,34,60,0,0
84,62,37,0,0
90,45,26,0,0
42,23,56,0,0
68,40,27,0,0
51,5,40,0,0
84,17,24,0,0
85,53,42,0,0
84,50,51,0,0
28,53,57,0,0
92,56,36,0,0
84,10,43,0,0
110,45,42,0,0
28,18,40,0,0
66,37,46,0,0
12,56,61,0,0
61,29,58,0,0
107,28,62,0,0
68,15,41,0,0
4,9,41,0,0
110,26,4,0,0
110,37,6,0,0
24,18,51,0,0
85,62,57,0,0
60,40,55,0,0
81,31,43,1,1
75,42,21,0,0
51,49,43,0,0
38,55,24,0,0
52,18,34,0,0
6,45,16,0,0
