cell,drug1_db,drug2_db,synergy,synergistic
123,34,56,0,0
6,34,45,0,0
112,52,28,0,0
93,2,19,0,0
50,54,60,0,0
36,49,46,0,0
123,3,30,0,0
29,3,62,0,0
3,29,15,0,0
41,19,38,0,0
64,54,16,0,0
97,51,0,0,0
38,8,9,0,0
82,55,53,0,0
76,30,17,0,0
86,17,15,0,0
77,30,32,0,0
4,34,50,0,0
26,8,55,1,1
70,39,60,0,0
73,38,55,0,0
108,57,8,0,0
70,2,32,0,0
55,14,53,0,0
1,55,33,0,0
82,55,39,0,0
9,25,55,0,0
51,57,9,0,0
122,46,55,0,0
47,19,15,0,0
86,52,20,0,0
3,11,52,0,0
85,9,41,0,0
44,16,18,0,0
65,30,51,0,0
12,33,49,0,0
77,60,0,0,0
63,60,37,0,0
56,60,8,0,0
122,52,28,0,0
37,30,49,0,0
107,21,30,0,0
114,49,15,0,0
108,25,52,0,0
5,37,9,1,1
30,14,17,0,0
73,17,61,0,0
46,6,36,0,0
62,46,57,0,0
5,41,8,0,0
89,4,1,1,1
90,9,8,0,0
67,37,15,0,0
86,49,1,0,0
122,53,28,0,0
1,11,33,0,0
51,53,49,0,0
103,56,59,0,0
66,51,4,0,0
56,56,52,0,0
46,56,15,0,0
48,30,35,0,0
104,3,30,0,0
30,11,34,0,0
95,49,28,0,0
118,49,18,0,0
73,55,44,0,0
29,53,45,0,0
55,49,21,0,0
83,56,39,0,0
111,8,21,0,0
66,11,55,0,0
17,54,17,0,0
102,52,28,0,0
110,15,39,0,0
78,14,38,0,0
83,11,50,0,0
12,21,15,0,0
88,43,17,0,0
105,4,30,0,0
119,58,50,0,0
6,55,36,0,0
97,6,56,0,0
76,6,20,0,0
65,53,22,0,0
102,54,43,0,0
11,26,30,0,0
54,38,26,0,0
115,58,62,0,0
1,55,28,0,0
2,55,6,0,0
45,34,55,0,0
9,35,49,0,0
123,30,17,0,0
4,2,45,0,0
121,15,17,0,0
20,53,47,0,0
17,15,34,0,0
35,49,38,0,0
56,52,46,0,0
66,45,42,0,0
61,45,36,0,0
40,49,55,0,0
71,53,39,0,0
91,39,11,0,0
92,54,34,0,0
121,15,18,0,0
30,11,6,0,0
19,8,21,0,0
40,46,43,0,0
43,19,52,0,0
83,6,15,0,0
18,13,57,0,0
26,60,30,0,0
0,49,38,0,0
119,52,62,0,0
56,39,17,1,1
58,54,51,0,0
77,38,4,0,0
42,39,24,0,0
68,55,21,0,0
4,54,4,0,0
89,53,28,0,0
46,38,10,0,0
34,9,30,0,0
1,4,61,0,0
83,3,2,0,0
82,8,21,0,0
7,45,8,0,0
15,41,52,0,0
34,26,47,0,0
53,41,23,0,0
61,2,36,0,0
34,5,16,0,0
47,28,33,0,0
59,34,55,0,0
26,2,12,0,0
9,17,9,0,0
117,45,52,0,0
82,39,57,0,0
23,25,57,0,0
66,30,48,0,0
80,53,47,0,0
15,9,23,0,0
28,6,8,0,0
6,8,60,0,0
64,35,16,1,1
24,52,22,0,0
28,45,0,0,0
2,60,4,0,0
100,53,51,0,0
1,53,10,0,0
