cell,drug1_db,drug2_db,synergy
OCUB-M,Docetaxel,Temozolomide,0
SUIT-2,Cisplatin,Oxaliplatin,0
RCM-1,Trametinib,Afatinib,0
EVSA-T,Axitinib,Palbociclib,0
PL4,Oxaliplatin,OSI-027,0
HCC1937,PD173074,Doramapimod,0
AsPC-1,Linsitinib,LGK974,0
BT-20,Navitoclax,AZD7762,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
LoVo,Vinorelbine,Linsitinib,0
BT-20,Gemcitabine,Lapatinib,0
CAPAN-2,Taselisib,5-Fluorouracil,0
UACC-812,Olaparib,Pictilisib,0
GP5d,Crizotinib,MK-2206,0
HCC1428,Sapitinib,AZD8055,0
SNU-175,Sapitinib,Taselisib,0
HT-29,Vinorelbine,LGK974,0
SW837,Oxaliplatin,AZD7762,0
BT-20,Olaparib,JQ1,0
COLO-824,Gemcitabine,SCH772984,0
YAPC,LGK974,Galunisertib,0
ZR-75-1,Palbociclib,PD173074,0
CCK-81,AZD8055,Trametinib,0
HCC1569,Temozolomide,Vorinostat,0
MDA-MB-468,Bortezomib,Doramapimod,0
EFM-192A,Bortezomib,Linsitinib,0
COLO-320-HSR,Palbociclib,Trametinib,0
SK-CO-1,Trametinib,AZD7762,0
MDA-MB-415,Gemcitabine,Lapatinib,0
PSN1,Sorafenib,LGK974,1
EFM-19,MK-1775,NU7441,0
COLO-205,Afatinib,Vinorelbine,0
PSN1,Galunisertib,Linsitinib,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
BT-20,Trametinib,Entinostat,0
HCC1428,Lapatinib,AZD8055,0
MCF7,PD173074,Gemcitabine,0
EFM-192A,Pictilisib,Olaparib,0
CAMA-1,Axitinib,Palbociclib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
AU565,Sapitinib,RO-3306,0
MCF7,Lapatinib,Sapitinib,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
BT-20,Cisplatin,Bortezomib,0
HCC1806,AZD7762,Taselisib,0
HCC1500,Crizotinib,OSI-027,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
CAPAN-2,Gemcitabine,Palbociclib,0
HDQ-P1,Luminespib,MK-2206,0
BT-474,Vorinostat,GSK269962A,0
HCC1937,MK-1775,Pictilisib,0
BT-483,MK-1775,JQ1,0
CaR-1,5-Fluorouracil,BMS-754807,0
KP-3,OSI-027,Paclitaxel,0
T47D,Sapitinib,MK-1775,0
SW1116,AZD4547,Trametinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
SUIT-2,Galunisertib,MK-2206,0
MRK-nu-1,AZD7762,Docetaxel,0
HCC1569,Gemcitabine,ZM447439,0
MDA-MB-361,Trametinib,OSI-027,0
EFM-192A,Olaparib,Afatinib,0
HCC1806,Bortezomib,Cisplatin,0
MCF7,Temozolomide,BI-2536,0
MDA-MB-453,Temozolomide,NU7441,0
HCC1806,MK-1775,5-Fluorouracil,0
COLO-824,Lapatinib,MK-1775,0
MDST8,Afatinib,BMS-754807,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
Hs-766T,Trametinib,OSI-027,0
BT-474,Olaparib,Alisertib,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
HCC1599,5-Fluorouracil,PD173074,0
MDA-MB-468,OSI-027,Gemcitabine,0
MDA-MB-157,Taselisib,Luminespib,0
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
MDA-MB-175-VII,PD173074,Venetoclax,0
PANC-04-03,LGK974,Palbociclib,0
MDA-MB-231,OSI-027,Vorinostat,0
MDA-MB-415,Axitinib,Cisplatin,0
PANC-04-03,Dasatinib,Gemcitabine,0
