cell,drug1_db,drug2_db,synergy,synergistic
1,29,27,0,0
84,9,40,0,0
21,49,8,0,0
1,3,16,0,0
65,3,39,0,0
59,40,32,0,0
123,49,37,0,0
76,57,30,0,0
82,41,55,0,0
28,16,18,0,0
36,18,46,0,0
71,41,52,1,1
16,13,34,0,0
16,50,8,0,0
47,32,52,0,0
36,5,12,0,0
81,47,27,0,0
18,42,19,0,0
90,51,55,0,0
23,40,46,0,0
36,47,48,0,0
4,5,37,0,0
111,37,17,0,0
88,20,13,0,0
45,8,30,0,0
113,8,15,0,0
100,38,16,0,0
30,13,46,0,0
114,60,47,0,0
33,5,12,0,0
63,15,55,1,1
4,42,18,0,0
13,14,51,0,0
63,45,41,0,0
50,5,26,1,1
31,55,41,0,0
73,15,46,0,0
118,19,36,0,0
22,27,23,0,0
119,57,5,0,0
80,27,47,0,0
78,16,41,0,0
0,3,16,0,0
4,12,29,0,0
74,13,36,0,0
79,13,17,0,0
119,12,52,0,0
80,5,41,0,0
98,49,18,0,0
33,12,21,0,0
109,47,58,0,0
88,38,46,0,0
78,59,18,0,0
50,43,19,0,0
95,62,21,0,0
91,52,22,0,0
76,6,27,0,0
28,6,48,0,0
110,54,16,0,0
37,32,54,0,0
106,62,39,0,0
116,52,6,0,0
117,29,52,0,0
58,10,13,0,0
75,5,37,0,0
1,16,18,0,0
66,9,33,0,0
38,36,40,0,0
84,45,19,0,0
14,19,7,0,0
98,46,29,0,0
16,5,24,0,0
44,13,32,0,0
29,8,9,0,0
83,33,22,0,0
29,6,49,0,0
61,13,52,0,0
97,19,50,0,0
26,50,12,0,0
105,49,29,0,0
64,46,17,0,0
4,12,6,0,0
61,14,59,0,0
33,6,46,0,0
49,58,51,0,0
71,8,16,0,0
10,13,32,0,0
65,29,43,0,0
80,50,18,1,1
12,49,57,0,0
7,52,38,0,0
66,49,5,0,0
50,19,36,0,0
39,32,2,0,0
69,55,16,0,0
9,32,62,0,0
33,3,9,0,0
70,33,41,0,0
69,56,5,0,0
69,54,7,0,0
83,9,22,0,0
119,32,47,0,0
112,29,52,0,0
71,9,28,0,0
5,33,47,0,0
107,50,51,0,0
49,37,38,0,0
53,60,51,0,0
119,62,44,0,0
75,19,7,0,0
86,6,41,0,0
91,41,8,0,0
72,47,4,0,0
86,33,30,0,0
116,8,5,0,0
15,19,2,0,0
5,16,8,0,0
106,42,20,0,0
7,59,6,0,0
44,13,52,0,0
123,59,55,0,0
76,29,52,0,0
42,56,41,1,1
24,13,46,0,0
72,33,46,0,0
12,62,3,0,0
21,41,5,0,0
108,31,17,0,0
121,62,37,0,0
91,46,14,0,0
4,13,54,0,0
100,36,50,0,0
104,55,18,0,0
77,47,0,0,0
84,6,19,1,1
94,45,17,0,0
28,13,4,0,0
2,14,59,0,0
48,40,55,0,0
64,5,31,0,0
58,49,20,0,0
64,7,15,0,0
97,40,59,0,0
115,37,20,0,0
35,41,19,1,1
67,47,50,0,0
110,54,31,0,0
94,50,7,1,1
70,29,27,0,0
119,57,1,1,1
50,50,32,0,0
79,9,19,0,0
94,54,50,0,0
61,36,10,0,0
118,55,47,0,0
99,6,20,0,0
45,50,23,0,0
123,49,38,0,0
121,41,0,0,0
36,3,53,0,0
5,16,43,0,0
27,50,59,0,0
66,16,3,0,0
70,33,5,0,0
109,49,20,0,0
98,46,62,0,0
61,49,51,0,0
57,49,41,0,0
1,8,15,0,0
20,50,55,0,0
76,13,49,0,0
11,18,52,0,0
86,57,4,0,0
39,33,61,0,0
51,16,32,0,0
87,10,18,0,0
0,9,29,0,0
44,8,30,0,0
83,49,28,0,0
16,47,35,0,0
63,49,47,0,0
19,12,54,0,0
28,16,22,0,0
94,47,37,0,0
65,3,47,0,0
95,5,58,0,0
0,46,22,0,0
36,13,52,1,1
33,47,33,0,0
44,3,29,0,0
51,52,6,0,0
10,9,12,0,0
4,62,43,0,0
71,13,32,0,0
22,57,52,0,0
69,54,16,0,0
90,46,60,0,0
84,42,18,0,0
85,32,6,0,0
84,9,12,0,0
20,18,47,0,0
67,7,18,0,0
66,12,9,0,0
57,19,18,0,0
77,49,30,0,0
85,42,41,0,0
57,42,50,0,0
51,50,30,0,0
66,57,1,0,0
21,57,25,0,0
98,6,20,0,0
48,19,50,0,0
124,36,41,0,0
101,46,8,0,0
65,13,20,1,1
16,5,1,0,0
1,57,5,1,1
47,52,38,0,0
9,32,19,0,0
63,37,31,0,0
53,55,47,0,0
66,32,14,0,0
47,49,57,0,0
114,10,13,0,0
124,36,18,0,0
90,16,59,0,0
66,47,32,0,0
9,50,12,0,0
0,32,0,0,0
23,55,10,0,0
93,42,47,0,0
120,52,49,0,0
99,47,60,0,0
80,8,47,0,0
12,27,34,0,0
81,9,19,0,0
51,19,16,0,0
15,62,8,0,0
121,52,9,0,0
81,46,41,0,0
34,52,10,0,0
99,10,42,0,0
50,12,62,0,0
102,12,0,0,0
3,50,40,0,0
72,9,36,0,0
0,9,26,0,0
95,32,14,0,0
