cell,drug1_db,drug2_db,synergy,synergistic
88,5,28,0,0
34,22,50,0,0
29,2,62,0,0
53,35,23,0,0
76,9,47,0,0
113,18,49,0,0
49,22,19,0,0
56,19,56,0,0
68,25,40,0,0
22,0,60,0,0
77,56,38,0,0
121,44,41,0,0
42,18,34,0,0
116,30,56,0,0
21,49,21,0,0
46,0,41,0,0
93,31,0,0,0
25,33,1,0,0
105,27,50,0,0
15,0,60,0,0
100,45,40,1,1
68,30,47,0,0
118,40,24,0,0
38,23,35,0,0
115,37,57,0,0
1,34,27,0,0
22,47,62,0,0
81,49,62,0,0
104,47,1,0,0
45,30,29,0,0
66,38,15,0,0
1,28,32,0,0
124,30,44,1,1
20,25,2,0,0
45,0,57,0,0
31,50,42,0,0
79,13,56,0,0
30,2,56,0,0
59,49,32,0,0
30,21,18,0,0
108,27,19,0,0
64,35,58,0,0
7,15,50,0,0
90,5,30,0,0
32,61,33,0,0
83,13,30,0,0
67,50,39,0,0
111,41,28,0,0
30,15,12,0,0
122,27,28,0,0
36,58,3,0,0
59,58,49,0,0
4,9,15,0,0
41,47,24,0,0
120,61,56,0,0
58,35,50,0,0
96,49,18,0,0
68,49,30,0,0
9,58,35,0,0
33,47,26,0,0
36,56,23,0,0
62,13,30,0,0
48,50,24,0,0
104,19,25,0,0
3,2,1,0,0
107,37,14,0,0
22,21,4,0,0
81,33,53,0,0
5,50,41,0,0
10,14,33,0,0
47,15,56,0,0
21,45,23,0,0
12,37,50,0,0
12,30,35,0,0
84,27,45,0,0
29,21,4,0,0
73,33,19,0,0
9,40,3,0,0
3,27,15,0,0
93,30,41,0,0
29,27,30,0,0
38,40,60,0,0
95,45,23,0,0
80,7,58,0,0
61,15,51,0,0
29,25,44,0,0
10,58,22,0,0
82,10,46,0,0
56,2,44,0,0
29,19,42,0,0
0,16,33,0,0
62,5,37,0,0
85,2,15,0,0
30,31,17,0,0
59,62,49,0,0
8,45,62,0,0
85,58,23,0,0
100,37,39,0,0
117,32,15,0,0
21,45,12,0,0
1,22,8,0,0
23,27,25,1,1
113,45,32,0,0
109,8,34,0,0
58,35,5,0,0
19,30,2,0,0
110,40,24,1,1
28,50,2,0,0
57,49,42,0,0
6,9,52,0,0
110,5,27,0,0
106,20,14,0,0
0,22,38,0,0
44,5,26,0,0
85,58,31,0,0
32,50,40,0,0
60,62,26,0,0
94,33,62,0,0
37,58,28,0,0
91,30,38,0,0
89,10,5,0,0
20,37,36,0,0
113,32,2,0,0
37,21,5,0,0
8,50,7,0,0
21,57,24,0,0
70,57,0,0,0
23,5,19,0,0
88,37,45,0,0
23,19,12,0,0
7,58,40,0,0
109,14,58,0,0
94,34,33,0,0
22,33,42,1,1
70,49,17,0,0
82,40,52,0,0
91,15,22,0,0
86,39,50,0,0
46,19,58,0,0
92,33,0,0,0
31,62,4,0,0
33,58,41,0,0
107,49,32,0,0
72,37,22,0,0
47,23,30,0,0
8,57,58,0,0
33,58,32,0,0
95,19,54,0,0
98,5,54,0,0
98,27,37,0,0
111,13,37,0,0
71,40,38,0,0
97,60,16,0,0
43,32,14,0,0
65,9,58,0,0
28,58,41,0,0
95,40,58,0,0
50,3,56,0,0
104,27,5,0,0
115,0,12,0,0
56,57,46,0,0
9,33,61,0,0
9,28,30,0,0
36,56,22,0,0
63,40,32,1,1
57,5,50,0,0
99,5,35,0,0
44,50,9,0,0
8,33,17,0,0
124,9,49,0,0
42,45,58,0,0
97,61,15,0,0
122,62,49,0,0
68,30,49,0,0
97,38,27,0,0
52,5,13,0,0
40,3,30,0,0
61,9,26,0,0
44,33,46,0,0
81,32,14,0,0
88,27,31,0,0
52,23,5,0,0
109,2,22,0,0
42,40,45,0,0
56,47,59,0,0
89,33,15,0,0
124,50,49,0,0
96,27,15,0,0
16,53,18,0,0
53,16,5,0,0
93,9,54,0,0
45,27,48,0,0
2,56,37,0,0
44,37,55,0,0
57,27,48,0,0
44,27,40,0,0
33,9,2,0,0
107,10,5,0,0
97,27,16,0,0
37,0,58,0,0
84,61,37,0,0
78,19,58,1,1
69,13,38,0,0
6,31,17,0,0
63,2,45,0,0
122,2,36,0,0
41,10,23,0,0
91,38,3,0,0
19,19,18,0,0
88,44,57,0,0
97,13,40,0,0
19,50,12,0,0
39,8,2,0,0
