cell,drug1_db,drug2_db,synergy
MDA-MB-330,Navitoclax,Sapitinib,0
SK-CO-1,Sapitinib,Camptothecin,0
ZR-75-30,Docetaxel,Ribociclib,0
EVSA-T,MK-2206,SCH772984,0
SW1990,Ruxolitinib,Paclitaxel,0
MDA-MB-453,Linsitinib,Entinostat,0
SNU-1040,Crizotinib,MK-2206,0
MDA-MB-468,Temozolomide,ZM447439,0
MDA-MB-415,Navitoclax,Wee1 Inhibitor,0
MDA-MB-231,Taselisib,Ribociclib,0
SNU-175,Dabrafenib,Palbociclib,0
HCC1419,Palbociclib,Gemcitabine,0
MRK-nu-1,Crizotinib,Alpelisib,0
HCC1428,Navitoclax,JQ1,1
BT-474,AZD7762,Gemcitabine,0
JIMT-1,Docetaxel,Luminespib,0
KP-3,OSI-027,Irinotecan,0
MDA-MB-468,Vorinostat,BI-2536,0
MDA-MB-231,Docetaxel,Dabrafenib,0
SW948,Palbociclib,Navitoclax,0
ZR-75-30,Sapitinib,BI-2536,1
SNU-407,Dabrafenib,Palbociclib,0
HCC202,Gemcitabine,AZD7762,0
HT-29,Afatinib,Palbociclib,0
Hs-578-T,Olaparib,Sorafenib,0
SU8686,Taselisib,Linsitinib,0
MRK-nu-1,Gemcitabine,Lapatinib,0
MDA-MB-468,AZD7762,Afatinib,0
CAL-85-1,Palbociclib,SB216763,0
LS-411N,Trametinib,Vinorelbine,0
SW48,AZD4547,AZD8055,0
PANC-04-03,Olaparib,Taselisib,0
CL-11,MK-2206,Dabrafenib,0
AU565,Vorinostat,Pictilisib,0
HT-115,MK-2206,SB216763,0
CAL-85-1,OSI-027,MK-2206,1
PA-TU-8988T,Oxaliplatin,LGK974,0
GP5d,SB505124,MK-1775,0
CW-2,Vinorelbine,5-Fluorouracil,0
COLO-320-HSR,Navitoclax,Camptothecin,0
AU565,Temozolomide,AZD7762,0
HCC1143,Gemcitabine,KU-55933,0
KP-3,Ruxolitinib,Paclitaxel,0
HCC1569,MK-1775,NU7441,0
Hs-766T,MK-1775,Oxaliplatin,0
SUIT-2,SCH772984,OSI-027,1
JIMT-1,Sapitinib,NU7441,0
MFM-223,Olaparib,ZM447439,0
HCC1500,Cisplatin,Sorafenib,0
PANC-10-05,5-Fluorouracil,MK-1775,0
HCC1187,Vorinostat,NU7441,1
HCC1569,Trametinib,Cisplatin,0
DiFi,MK-1775,AZD4547,0
CAL-148,Temozolomide,Luminespib,0
HCC70,Olaparib,Trametinib,0
MCF7,5-Fluorouracil,Luminespib,0
CAL-51,Navitoclax,PF-4708671,0
OCUB-M,Temozolomide,Luminespib,0
EVSA-T,PD173074,Palbociclib,0
PANC-10-05,LGK974,Dasatinib,0
COLO-678,Camptothecin,SCH772984,0
SUIT-2,Taselisib,MK-1775,0
KM12,Navitoclax,Linsitinib,0
SW1990,Olaparib,OSI-027,0
CAPAN-2,LGK974,Oxaliplatin,0
LS-513,AZD4547,AZD8055,0
LS-513,Vinorelbine,Linsitinib,0
RKO,Oxaliplatin,Trametinib,0
PANC-08-13,Dasatinib,Paclitaxel,0
Hs-578-T,Navitoclax,Trametinib,0
CAL-85-1,Vorinostat,Bortezomib,0
BT-549,Lapatinib,Paclitaxel,0
HCC1599,Crizotinib,Wee1 Inhibitor,0
BT-483,Lapatinib,PF-4708671,0
HCT-116,Trametinib,MK-2206,1
SNU-407,5-Fluorouracil,BMS-754807,0
PSN1,Oxaliplatin,Ruxolitinib,0
EFM-192A,Luminespib,MK-2206,0
HCC1187,Vorinostat,Lapatinib,1
LS-513,AZD7762,Afatinib,0
COLO-824,Palbociclib,Cisplatin,0
HCC1187,Sapitinib,Entinostat,0
HCC1419,Docetaxel,SB216763,0
HCC1599,Trametinib,Venetoclax,0
EVSA-T,Luminespib,Docetaxel,0
HCC1500,Pictilisib,Alpelisib,0
KP-1N,Olaparib,Linsitinib,0
HCC1599,Cisplatin,Docetaxel,0
LS-123,SB216763,AZD7762,0
HCC1419,Luminespib,Paclitaxel,0
HCC2218,MK-2206,Sorafenib,0
HCC1569,Lapatinib,GSK269962A,0
HT-29,AZD7762,BMS-754807,0
CFPAC-1,Dasatinib,Dactolisib,0
EFM-19,Trametinib,Camptothecin,0
HT-29,Taselisib,Afatinib,0
HuP-T3,MK-1775,Cisplatin,0
ZR-75-1,Navitoclax,Vorinostat,0
CAMA-1,5-Fluorouracil,SB216763,0
MDA-MB-175-VII,Linsitinib,Entinostat,0
CAMA-1,Luminespib,Linsitinib,0
COLO-678,BMS-754807,Taselisib,0
AU565,OSI-027,Vorinostat,0
HCC2157,AZD7762,Uprosertib,0
CL-11,Linsitinib,Navitoclax,0
GP5d,Sapitinib,SB505124,0
PSN1,Taselisib,Galunisertib,0
COLO-320-HSR,Afatinib,Olaparib,0
SW837,Afatinib,Oxaliplatin,0
CAMA-1,Crizotinib,Paclitaxel,0
CCK-81,Camptothecin,SB216763,0
MDA-MB-453,Vorinostat,Nilotinib,0
KP-4,Palbociclib,Dactolisib,0
HT-29,Oxaliplatin,SB216763,0
KP-4,Linsitinib,Palbociclib,0
PANC-04-03,Palbociclib,Cisplatin,0
MCF7,Palbociclib,Luminespib,0
SW620,5-Fluorouracil,Vinorelbine,0
PANC-02-03,SCH772984,Sorafenib,0
LS-180,Navitoclax,BMS-754807,0
ZR-75-1,Luminespib,Axitinib,0
EVSA-T,MK-1775,Doramapimod,0
T47D,Pictilisib,Palbociclib,0
KP-2,Gemcitabine,Irinotecan,0
HCC2218,MK-2206,Bortezomib,0
MDA-MB-361,Lapatinib,OSI-027,0
MDA-MB-436,Bortezomib,Alisertib,0
HCT-15,SCH772984,Olaparib,0
MDST8,Olaparib,Oxaliplatin,0
BT-483,Temozolomide,OSI-027,0
KP-3,Erlotinib,MK-2206,0
MDA-MB-157,Pictilisib,KU-55933,0
COLO-205,Trametinib,SB216763,0
RCM-1,MK-2206,AZD8055,0
HCC1937,Olaparib,Afatinib,0
EFM-19,Temozolomide,Uprosertib,0
HCC2998,BMS-754807,Crizotinib,0
UACC-893,Temozolomide,AZD8055,0
HPAC,Dactolisib,Navitoclax,0
HuP-T4,Olaparib,MK-2206,0
HCT-116,Sapitinib,MK-2206,0
C2BBe1,MK-1775,MK-2206,1
EVSA-T,Crizotinib,Lapatinib,0
HDQ-P1,Axitinib,Cisplatin,0
CAL-85-1,Navitoclax,ZM447439,1
HCC70,Cisplatin,Trametinib,0
CAL-120,OSI-027,Luminespib,0
PANC-03-27,LGK974,Dactolisib,0
HCC38,Vorinostat,Taselisib,1
PANC-02-03,LGK974,Taselisib,0
AU565,Docetaxel,Wee1 Inhibitor,0
JIMT-1,PD173074,GSK269962A,0
HCC2157,Sapitinib,Alisertib,0
T47D,Gemcitabine,Linsitinib,0
HCC1143,Docetaxel,Wee1 Inhibitor,0
SW1417,Olaparib,SCH772984,0
HuP-T4,Taselisib,Gemcitabine,0
CAL-51,Navitoclax,Linsitinib,0
T47D,Temozolomide,Docetaxel,0
HCC38,OSI-027,Camptothecin,0
HCC2218,Temozolomide,Linsitinib,0
UACC-893,MK-2206,RO-3306,0
CAL-85-1,Linsitinib,Cisplatin,0
ZR-75-30,Axitinib,Palbociclib,0
MFM-223,OSI-027,Bortezomib,0
MFM-223,AZD7762,Olaparib,0
BxPC-3,Navitoclax,Olaparib,0
MDA-MB-175-VII,Gemcitabine,GSK269962A,0
DiFi,LGK974,Oxaliplatin,0
CAPAN-2,Linsitinib,Dasatinib,0
PL4,Crizotinib,Lapatinib,1
HDQ-P1,PD173074,NU7441,0
COLO-824,Taselisib,Camptothecin,0
COLO-678,5-Fluorouracil,MK-1775,0
HCC1419,Trametinib,Palbociclib,0
Hs-766T,Dasatinib,Taselisib,0
HuP-T3,Navitoclax,Taselisib,0
BT-549,Axitinib,AZD6482,0
Hs-578-T,Taselisib,MK-2206,0
HCC1143,Temozolomide,Luminespib,0
ZR-75-30,Pictilisib,OSI-027,0
T47D,Palbociclib,SB216763,0
CAL-120,PD173074,Luminespib,0
HuP-T4,5-Fluorouracil,Navitoclax,0
JIMT-1,Axitinib,PD173074,0
MDA-MB-468,MK-1775,Temozolomide,0
AU565,MK-2206,SCH772984,0
CCK-81,Taselisib,MK-1775,0
NCI-H508,SB505124,Linsitinib,0
HCC1500,5-Fluorouracil,Taselisib,0
HCC1937,MK-2206,NU7441,0
MDA-MB-468,Olaparib,Crizotinib,0
SU8686,Erlotinib,MK-2206,0
SNU-C5,MK-1775,5-Fluorouracil,0
