symbol	node_id
ARF5	0
M6PR	1
FKBP4	2
CYP26B1	3
NDUFAF7	4
FUCA2	5
HS3ST1	6
SEMA3F	7
CFTR	8
CYP51A1	9
USP28	10
PDK4	11
USH1C	12
RALA	13
BAIAP2L1	14
CACNG3	15
TMEM132A	16
DVL2	17
RPAP3	18
SKAP2	19
PRSS21	20
HOXA11	21
CX3CL1	22
TRAPPC6A	23
WDR54	24
CEACAM7	25
RHBDD2	26
TSR3	27
OSBPL7	28
YBX2	29
ITGA3	30
KRT33A	31
TFAP2D	32
CRY1	33
PGLYRP1	34
STARD3NL	35
CAMK1G	36
CD74	37
CPA1	38
SYPL1	39
RANBP9	40
CD4	41
QPCTL	42
PPP5C	43
UBR7	44
MAP4K5	45
INMT	46
ERCC1	47
GPRC5A	48
HEBP1	49
COX15	50
MS4A12	51
RGPD5	52
XYLT2	53
SCTR	54
RALBP1	55
PSD	56
SYT13	57
SLC7A9	58
RTFDC1	59
RB1CC1	60
AKAP11	61
PIGQ	62
CDH17	63
B4GALT7	64
FAM13B	65
CHPF2	66
LRRC7	67
GABARAPL2	68
MYOC	69
FAM136A	70
OTC	71
TTC17	72
HOXC8	73
MRI1	74
BOD1L1	75
TARBP1	76
RTN4R	77
PSMA4	78
ZPBP	79
LCP2	80
DCN	81
TNFRSF17	82
MRPS10	83
GRN	84
THAP3	85
VAMP3	86
UTS2	87
RCN1	88
RFC2	89
PPP1R3F	90
KIAA2022	91
ARHGEF5	92
NFE2L3	93
TLL1	94
NNAT	95
CBLN4	96
CLDN11	97
FAM168A	98
RELT	99
PKP2	100
YIPF1	101
ADCK2	102
INPP4A	103
SLC2A3	104
STYK1	105
GNA11	106
CREB3L3	107
HDAC7	108
MRPS35	109
APPBP2	110
CA11	111
ISOC2	112
CD22	113
KCNQ1	114
TRPM5	115
TRIB2	116
OTUD5	117
GPKOW	118
AQR	119
ST6GALNAC1	120
LMCD1	121
PSMC4	122
CAMKK1	123
ACAP1	124
DERL2	125
NOX3	126
ANO8	127
KDM4B	128
ICAM3	129
CTTNBP2	130
ACTL6B	131
KIF22	132
CEACAM1	133
YTHDC2	134
TMEM161A	135
TNFRSF1A	136
GOLGA5	137
CELSR3	138
PPP2R5B	139
PYGM	140
BCL3	141
PIGB	142
PDZD4	143
PRLH	144
FSTL3	145
EPHA8	146
TRIP13	147
VASH1	148
KRT14	149
KRT20	150
SPP2	151
HSD17B10	152
FGF4	153
ST6GAL1	154
TIMM21	155
BPIFB2	156
REXO1	157
MKRN2	158
GPATCH1	159
KEAP1	160
P2RY10	161
TNS1	162
NGFR	163
NTN1	164
ISOC1	165
TRO	166
