drug_a	drug_b	cell_line	label	fold
Olaparib	SB216763	DiFi	0	0
Trametinib	Afatinib	RCM-1	0	0
Axitinib	Alisertib	MDA-MB-175-VII	0	0
Sapitinib	MK-2206	SNU-175	0	0
OSI-027	Sapitinib	AU565	0	0
Olaparib	Pictilisib	UACC-812	0	0
Sapitinib	Taselisib	SNU-175	0	0
AZD8055	Trametinib	CCK-81	0	0
Bortezomib	Sorafenib	CAL-120	0	0
Trametinib	AZD7762	SK-CO-1	0	0
Sorafenib	LGK974	PSN1	1	0
Navitoclax	Venetoclax	AU565	0	0
Galunisertib	Linsitinib	PSN1	0	0
Axitinib	Palbociclib	CAMA-1	0	0
Sapitinib	RO-3306	AU565	0	0
MK-2206	Temozolomide	MDA-MB-175-VII	0	0
Linsitinib	Dabrafenib	MDA-MB-436	0	0
5-Fluorouracil	Navitoclax	MRK-nu-1	0	0
Olaparib	Camptothecin	HCT-116	0	0
Dabrafenib	AZD7762	CCK-81	0	0
Vorinostat	GSK269962A	BT-474	0	0
Paclitaxel	Palbociclib	SU8686	0	0
OSI-027	Paclitaxel	KP-3	0	0
AZD7762	Docetaxel	MRK-nu-1	0	0
Camptothecin	Olaparib	SK-CO-1	1	0
Linsitinib	Dabrafenib	SW620	0	0
Olaparib	Alisertib	BT-474	0	0
Docetaxel	Luminespib	MDA-MB-175-VII	0	0
PD173074	Venetoclax	MDA-MB-175-VII	0	0
Linsitinib	Dabrafenib	SNU-175	0	0
Galunisertib	Ruxolitinib	KP-2	0	0
Docetaxel	Sapitinib	HCC1187	0	0
MK-2206	Linsitinib	KP-2	0	0
MK-1775	Docetaxel	MDA-MB-175-VII	0	0
Taselisib	Vinorelbine	SNU-175	0	0
Trametinib	Dabrafenib	CAL-120	0	0
Gemcitabine	Taselisib	HuP-T3	0	0
Palbociclib	Oxaliplatin	KP-3	0	0
Olaparib	Trametinib	CAMA-1	0	0
LGK974	Navitoclax	CL-11	0	0
OSI-027	Bortezomib	CAL-120	0	0
Olaparib	MK-2206	MDA-MB-175-VII	0	0
Paclitaxel	Irinotecan	SU8686	0	0
5-Fluorouracil	GSK269962A	CAL-120	0	0
Gemcitabine	Paclitaxel	HCC1187	0	0
Linsitinib	Entinostat	MDA-MB-436	0	0
MK-2206	RO-3306	CAMA-1	0	0
5-Fluorouracil	AZD8055	HCT-116	0	0
AZD7762	Vorinostat	MRK-nu-1	0	0
Sorafenib	Linsitinib	KP-3	0	0
MK-1775	Palbociclib	HCT-116	0	0
Navitoclax	Sapitinib	SW620	0	0
Afatinib	Trametinib	SNU-175	0	0
Cisplatin	Docetaxel	CAMA-1	0	0
5-Fluorouracil	Olaparib	PSN1	0	0
Lapatinib	Paclitaxel	HuP-T3	0	0
Axitinib	Olaparib	MDA-MB-175-VII	0	0
Gemcitabine	Camptothecin	BT-474	0	0
AZD7762	NU7441	CAMA-1	0	0
Taselisib	Alisertib	MRK-nu-1	0	0
Axitinib	PD173074	HCC1187	0	0
MK-1775	AZD8055	MRK-nu-1	0	0
Trametinib	AZD8055	MDA-MB-175-VII	1	0
Sapitinib	Dabrafenib	AU565	0	0
SCH772984	Irinotecan	PSN1	0	0
Linsitinib	RO-3306	MDA-MB-436	0	0
5-Fluorouracil	PD173074	AU565	0	0
OSI-027	Wee1 Inhibitor	CAMA-1	0	0
Sapitinib	5-Fluorouracil	RCM-1	0	0
Cisplatin	MK-2206	UACC-812	0	0
Luminespib	Doramapimod	BT-474	0	0
MK-2206	5-Fluorouracil	CL-11	0	0
AZD7762	Linsitinib	UACC-812	0	0
Cisplatin	Entinostat	CAMA-1	0	0
OSI-027	Afatinib	BT-474	0	0
MK-1775	LGK974	SW620	0	0
Linsitinib	KU-55933	BT-474	0	0
Crizotinib	NU7441	AU565	0	0
Navitoclax	Docetaxel	CAMA-1	0	0
Galunisertib	Olaparib	HuP-T3	0	0
BMS-754807	Camptothecin	SK-CO-1	0	0
Palbociclib	Crizotinib	PSN1	0	0
Ruxolitinib	AZD7762	KP-2	0	0
Palbociclib	OSI-027	KP-2	0	0
