,id,anchor_names,library_names,AUPRC,F1,BACC,KAPPA,num_pos,data_num
0,0,Taselisib,Luminespib,,0.0,1.0,,0,50
1,1,SCH772984,Gemcitabine,0.05555555555555555,0.0,0.5,0.0,1,29
2,2,Bortezomib,Alisertib,,0.0,1.0,,0,49
3,3,Bortezomib,Venetoclax,0.045454545454545456,0.0,0.5,0.0,1,48
4,4,BMS-754807,Afatinib,0.2816013166729111,0.22222222222222224,0.5605263157894737,0.13256484149855907,5,43
5,5,MK-2206,Oxaliplatin,,0.0,1.0,,0,73
6,6,SB505124,SB216763,0.5643939393939394,0.6666666666666666,0.75,0.65625,2,44
7,7,Cisplatin,AZD6482,,0.0,1.0,,0,49
8,8,Trametinib,Paclitaxel,0.7386363636363635,0.0,0.5,0.0,3,77
9,9,Galunisertib,Linsitinib,0.03125,0.0,0.5,0.0,1,29
10,10,Luminespib,MK-2206,,0.0,1.0,,0,51
11,11,Navitoclax,RO-3306,0.613640058440555,0.5500000000000002,0.6239737274220033,0.2512479201331115,21,50
12,12,BMS-754807,Trametinib,0.6000962000962,0.5333333333333333,0.7083333333333333,0.43795620437956206,8,44
13,13,MK-2206,Camptothecin,0.11194083694083692,0.0,0.5,0.0,3,92
14,14,Dasatinib,Paclitaxel,0.045897435897435904,0.0,0.4807692307692308,-0.050000000000000044,2,28
15,15,Olaparib,Camptothecin,0.03138137590824038,0.0,0.49444444444444446,-0.014705882352941346,2,92
16,16,Dasatinib,Palbociclib,1.0,0.0,0.5,0.0,1,28
17,17,Gemcitabine,PF-4708671,0.01020408163265306,0.0,0.5,0.0,1,50
18,18,SB505124,Afatinib,,0.0,0.9767441860465116,0.0,0,43
19,19,Temozolomide,SB216763,,0.0,1.0,,0,50
20,20,Gemcitabine,Vorinostat,,0.0,1.0,,0,52
21,21,Sapitinib,SCH772984,0.7386363636363635,0.5,0.6666666666666666,0.4918032786885246,3,93
22,22,Linsitinib,Sapitinib,0.5523049356596988,0.4878048780487805,0.661053276178812,0.34765366820885657,23,94
23,23,Dasatinib,Cisplatin,,0.0,1.0,,0,29
24,24,Pictilisib,Dabrafenib,0.16666666666666666,0.0,0.5,0.0,1,49
25,25,Lapatinib,GSK269962A,0.11506868131868131,0.0,0.4891304347826087,-0.03305785123966953,4,50
26,26,Docetaxel,5-Fluorouracil,,0.0,1.0,,0,52
27,27,AZD4547,AZD7762,,0.0,0.9772727272727273,0.0,0,44
28,28,OSI-027,Ribociclib,0.020833333333333332,0.0,0.5,0.0,1,48
29,29,Pictilisib,RO-3306,,0.0,1.0,,0,50
30,30,Oxaliplatin,SB216763,0.045454545454545456,0.0,0.5,0.0,1,44
31,31,PD173074,Venetoclax,,0.0,1.0,,0,48
32,32,Dactolisib,MK-1775,,0.0,1.0,,0,29
33,33,Olaparib,Wee1 Inhibitor,,0.0,1.0,,0,48
34,34,Gemcitabine,Palbociclib,,0.0,1.0,,0,79
35,35,Pictilisib,Alisertib,0.17824074074074073,0.0,0.4673913043478261,-0.0652173913043479,3,49
36,36,Linsitinib,SB216763,0.038669950738916256,0.0,0.4945652173913043,-0.014388489208633004,2,94
37,37,PD173074,Cisplatin,0.020833333333333332,0.0,0.5,0.0,1,52
38,38,Pictilisib,JQ1,0.08315255264353885,0.0,0.45555555555555555,-0.0888888888888888,4,49
39,39,Trametinib,Gemcitabine,0.43543028322440086,0.5,0.6666666666666666,0.49044585987261147,3,80
40,40,Taselisib,Nilotinib,0.12581699346405228,0.0,0.5,0.0,2,49
41,41,Palbociclib,LGK974,,0.0,1.0,,0,73
42,42,Palbociclib,Dasatinib,1.0,1.0,1.0,1.0,1,28
43,43,SB216763,LGK974,,0.0,1.0,,0,44
44,44,Luminespib,5-Fluorouracil,0.25,0.0,0.5,0.0,1,52
45,45,Cisplatin,AZD7762,0.6705218432161201,0.5714285714285715,0.7204007285974499,0.44960520204366006,18,79
46,46,Palbociclib,Navitoclax,,0.0,1.0,,0,125
47,47,Sorafenib,Irinotecan,,0.0,1.0,,0,29
48,48,Vinorelbine,SB505124,,0.0,1.0,,0,44
49,49,Vinorelbine,Crizotinib,,0.0,1.0,,0,44
50,50,Ruxolitinib,Linsitinib,,0.0,1.0,,0,29
