cell_line_names,index
AU565,0
AsPC-1,1
BT-20,2
BT-474,3
BT-483,4
BT-549,5
BxPC-3,6
C2BBe1,7
CAL-120,8
CAL-148,9
CAL-51,10
CAL-85-1,11
CAMA-1,12
CAPAN-1,13
CAPAN-2,14
CCK-81,15
CFPAC-1,16
CL-11,17
COLO-205,18
COLO-320-HSR,19
COLO-678,20
COLO-824,21
CW-2,22
CaR-1,23
DAN-G,24
DU-4475,25
DiFi,26
EFM-19,27
EFM-192A,28
EVSA-T,29
GP5d,30
HCC1143,31
HCC1187,32
HCC1395,33
HCC1419,34
HCC1428,35
HCC1500,36
HCC1569,37
HCC1599,38
HCC1806,39
HCC1937,40
HCC1954,41
HCC202,42
HCC2157,43
HCC2218,44
HCC2998,45
HCC38,46
HCC70,47
HCT-116,48
HCT-15,49
HDQ-P1,50
HPAC,51
HT-115,52
HT-29,53
HT55,54
Hs-578-T,55
Hs-766T,56
HuP-T3,57
HuP-T4,58
JIMT-1,59
KM12,60
KP-1N,61
KP-2,62
KP-3,63
KP-4,64
LS-123,65
LS-180,66
LS-411N,67
LS-513,68
LoVo,69
MCF7,70
MDA-MB-157,71
MDA-MB-175-VII,72
MDA-MB-231,73
MDA-MB-330,74
MDA-MB-361,75
MDA-MB-415,76
MDA-MB-436,77
MDA-MB-453,78
MDA-MB-468,79
MDST8,80
MFM-223,81
MIA-PaCa-2,82
MRK-nu-1,83
MZ1-PC,84
NCI-H508,85
NCI-H716,86
NCI-H747,87
OCUB-M,88
PA-TU-8902,89
PA-TU-8988T,90
PANC-02-03,91
PANC-03-27,92
PANC-04-03,93
PANC-08-13,94
PANC-10-05,95
PL4,96
PSN1,97
RCM-1,98
RKO,99
SK-CO-1,100
SNU-1040,101
SNU-175,102
SNU-407,103
SNU-81,104
SNU-C1,105
SNU-C2B,106
SNU-C5,107
SU8686,108
SUIT-2,109
SW1116,110
SW1417,111
SW1463,112
SW1990,113
SW48,114
SW620,115
SW837,116
SW948,117
T47D,118
T84,119
UACC-812,120
UACC-893,121
YAPC,122
ZR-75-1,123
ZR-75-30,124
