cell_line_names,anchor_names,library_names,labels
EVSA-T,Docetaxel,Pictilisib,0
OCUB-M,Docetaxel,Temozolomide,0
DiFi,Olaparib,SB216763,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
RCM-1,Trametinib,Afatinib,0
MDA-MB-330,Luminespib,MK-1775,0
EVSA-T,Axitinib,Palbociclib,0
MDA-MB-175-VII,Axitinib,Alisertib,0
PA-TU-8988T,Dasatinib,AZD7762,0
PL4,Oxaliplatin,OSI-027,0
HT-115,5-Fluorouracil,SCH772984,0
HCC1937,PD173074,Doramapimod,0
AsPC-1,Linsitinib,LGK974,0
SNU-175,Sapitinib,MK-2206,0
BT-483,Palbociclib,Navitoclax,0
BT-20,Navitoclax,AZD7762,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Trametinib,AZD6482,0
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
LoVo,Vinorelbine,Linsitinib,0
BT-20,Gemcitabine,Lapatinib,0
CAPAN-2,Taselisib,5-Fluorouracil,0
UACC-812,Olaparib,Pictilisib,0
HCC1569,Cisplatin,AZD6482,0
GP5d,Crizotinib,MK-2206,0
HCC1428,Sapitinib,AZD8055,0
SNU-175,Sapitinib,Taselisib,0
SW1116,SB505124,Sapitinib,0
HT-29,Vinorelbine,LGK974,0
T84,Afatinib,Sapitinib,0
SW837,Oxaliplatin,AZD7762,0
BT-20,Olaparib,JQ1,0
PA-TU-8988T,Lapatinib,Olaparib,0
COLO-824,Gemcitabine,SCH772984,0
YAPC,LGK974,Galunisertib,0
CFPAC-1,SCH772984,Dactolisib,0
ZR-75-1,Palbociclib,PD173074,0
CCK-81,AZD8055,Trametinib,0
HCC1569,Temozolomide,Vorinostat,0
MDA-MB-468,Bortezomib,Doramapimod,0
CAL-120,Bortezomib,Sorafenib,0
EFM-192A,Bortezomib,Linsitinib,0
T84,Olaparib,SB216763,0
COLO-320-HSR,Palbociclib,Trametinib,0
SW1463,Dabrafenib,Palbociclib,0
SK-CO-1,Trametinib,AZD7762,0
LoVo,SB505124,Olaparib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
PSN1,Sorafenib,LGK974,1
COLO-824,Crizotinib,Navitoclax,0
AU565,Navitoclax,Venetoclax,0
EFM-19,MK-1775,NU7441,0
COLO-205,Afatinib,Vinorelbine,0
PSN1,Galunisertib,Linsitinib,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
BT-20,Trametinib,Entinostat,0
T84,MK-2206,SB216763,0
HCC1428,Lapatinib,AZD8055,0
HT-29,MK-2206,Trametinib,0
MFM-223,Pictilisib,Alpelisib,0
MCF7,PD173074,Gemcitabine,0
EFM-192A,Pictilisib,Olaparib,0
EFM-19,Pictilisib,AZD7762,0
LS-123,Palbociclib,AZD4547,0
SW948,Palbociclib,Linsitinib,0
CAMA-1,Axitinib,Palbociclib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
KP-4,Trametinib,Dactolisib,0
AU565,Sapitinib,RO-3306,0
MDA-MB-175-VII,MK-2206,Temozolomide,0
GP5d,Trametinib,Dabrafenib,0
MDA-MB-415,Pictilisib,Taselisib,0
MDA-MB-436,Linsitinib,Dabrafenib,0
MCF7,Lapatinib,Sapitinib,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
CaR-1,Olaparib,SB216763,0
BT-20,Cisplatin,Bortezomib,0
HCC1806,AZD7762,Taselisib,0
HCC1500,Crizotinib,OSI-027,0
MDA-MB-415,Lapatinib,GSK269962A,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
SW948,BMS-754807,Navitoclax,0
CAPAN-2,Gemcitabine,Palbociclib,0
HDQ-P1,Luminespib,MK-2206,0
BT-474,Vorinostat,GSK269962A,0
COLO-678,Taselisib,Camptothecin,0
OCUB-M,Sapitinib,NU7441,0
HCC1937,MK-1775,Pictilisib,0
BT-483,MK-1775,JQ1,0
ZR-75-1,MK-2206,PF-4708671,0
CaR-1,5-Fluorouracil,BMS-754807,0
SU8686,Paclitaxel,Palbociclib,0
KP-3,OSI-027,Paclitaxel,0
HCC38,Vorinostat,Alisertib,0
HCC1428,Sapitinib,SB216763,0
T47D,Sapitinib,MK-1775,0
JIMT-1,Docetaxel,Sapitinib,0
SW1116,AZD4547,Trametinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
EVSA-T,Palbociclib,Navitoclax,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
HPAC,AZD7762,Navitoclax,0
