cell_line_names,anchor_names,library_names,labels
EVSA-T,Docetaxel,Pictilisib,0
OCUB-M,Docetaxel,Temozolomide,0
SUIT-2,Cisplatin,Oxaliplatin,0
HCC2157,5-Fluorouracil,Bortezomib,0
RCM-1,Trametinib,Afatinib,0
EVSA-T,Axitinib,Palbociclib,0
MDA-MB-175-VII,Axitinib,Alisertib,0
HT-115,5-Fluorouracil,SCH772984,0
AsPC-1,Linsitinib,LGK974,0
BT-483,Palbociclib,Navitoclax,0
BT-20,Navitoclax,AZD7762,0
ZR-75-30,Docetaxel,GSK269962A,0
CAL-85-1,Linsitinib,Sapitinib,1
HCC1569,Trametinib,AZD6482,0
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
LoVo,Vinorelbine,Linsitinib,0
BT-20,Gemcitabine,Lapatinib,0
CAPAN-2,Taselisib,5-Fluorouracil,0
UACC-812,Olaparib,Pictilisib,0
HCC1569,Cisplatin,AZD6482,0
GP5d,Crizotinib,MK-2206,0
HCC1428,Sapitinib,AZD8055,0
T84,Afatinib,Sapitinib,0
SW837,Oxaliplatin,AZD7762,0
BT-20,Olaparib,JQ1,0
COLO-824,Gemcitabine,SCH772984,0
YAPC,LGK974,Galunisertib,0
CFPAC-1,SCH772984,Dactolisib,0
ZR-75-1,Palbociclib,PD173074,0
CCK-81,AZD8055,Trametinib,0
HCC1569,Temozolomide,Vorinostat,0
CAL-120,Bortezomib,Sorafenib,0
EFM-192A,Bortezomib,Linsitinib,0
T84,Olaparib,SB216763,0
COLO-320-HSR,Palbociclib,Trametinib,0
SW1463,Dabrafenib,Palbociclib,0
LoVo,SB505124,Olaparib,0
MDA-MB-415,Gemcitabine,Lapatinib,0
COLO-824,Crizotinib,Navitoclax,0
AU565,Navitoclax,Venetoclax,0
HDQ-P1,Gemcitabine,Entinostat,1
SNU-407,LGK974,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
BT-20,Trametinib,Entinostat,0
T84,MK-2206,SB216763,0
HCC1428,Lapatinib,AZD8055,0
EFM-192A,Pictilisib,Olaparib,0
SW948,Palbociclib,Linsitinib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
AU565,Sapitinib,RO-3306,0
MDA-MB-175-VII,MK-2206,Temozolomide,0
GP5d,Trametinib,Dabrafenib,0
MDA-MB-415,Pictilisib,Taselisib,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
CaR-1,Olaparib,SB216763,0
BT-20,Cisplatin,Bortezomib,0
MDA-MB-415,Lapatinib,GSK269962A,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
SW948,BMS-754807,Navitoclax,0
CAPAN-2,Gemcitabine,Palbociclib,0
HDQ-P1,Luminespib,MK-2206,0
BT-474,Vorinostat,GSK269962A,0
COLO-678,Taselisib,Camptothecin,0
OCUB-M,Sapitinib,NU7441,0
BT-483,MK-1775,JQ1,0
ZR-75-1,MK-2206,PF-4708671,0
CaR-1,5-Fluorouracil,BMS-754807,0
KP-3,OSI-027,Paclitaxel,0
HCC38,Vorinostat,Alisertib,0
HCC1428,Sapitinib,SB216763,0
JIMT-1,Docetaxel,Sapitinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
EVSA-T,Palbociclib,Navitoclax,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
SUIT-2,Galunisertib,MK-2206,0
MRK-nu-1,AZD7762,Docetaxel,0
HCC1569,Gemcitabine,ZM447439,0
MDA-MB-361,Trametinib,OSI-027,0
EFM-192A,Olaparib,Afatinib,0
MDST8,Trametinib,Sapitinib,0
SW48,MK-2206,Taselisib,0
HuP-T4,Taselisib,Lapatinib,0
COLO-824,Lapatinib,MK-1775,0
SW620,Linsitinib,Dabrafenib,0
MDST8,Afatinib,BMS-754807,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
CAL-85-1,Bortezomib,Palbociclib,0
BT-474,Olaparib,Alisertib,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
EFM-192A,Taselisib,Navitoclax,1
NCI-H716,Sapitinib,Dabrafenib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
HDQ-P1,MK-2206,SB216763,0
MDA-MB-175-VII,PD173074,Venetoclax,0
MDA-MB-231,OSI-027,Vorinostat,0
HCC1428,Gemcitabine,Venetoclax,0
MDA-MB-415,Axitinib,Cisplatin,0
PANC-10-05,Galunisertib,Olaparib,0
SW837,SB216763,AZD8055,0
CAL-85-1,Cisplatin,Uprosertib,0
MDA-MB-175-VII,MK-1775,Docetaxel,0
SNU-C5,SCH772984,Dabrafenib,0
HT55,SB505124,Vinorelbine,0
PA-TU-8902,MK-2206,Erlotinib,0
