cell_line_names,anchor_names,library_names,labels
EVSA-T,Docetaxel,Pictilisib,0
OCUB-M,Docetaxel,Temozolomide,0
SUIT-2,Cisplatin,Oxaliplatin,0
EVSA-T,Axitinib,Palbociclib,0
PA-TU-8988T,Dasatinib,AZD7762,0
AsPC-1,Linsitinib,LGK974,0
BT-483,Palbociclib,Navitoclax,0
BT-20,Navitoclax,AZD7762,0
MDA-MB-468,Palbociclib,AZD6482,0
ZR-75-30,Docetaxel,GSK269962A,0
HCC1569,Taselisib,Bortezomib,0
HCC1954,OSI-027,Camptothecin,0
AU565,OSI-027,Sapitinib,0
CAPAN-2,Taselisib,5-Fluorouracil,0
UACC-812,Olaparib,Pictilisib,0
GP5d,Crizotinib,MK-2206,0
SNU-175,Sapitinib,Taselisib,0
SW1116,SB505124,Sapitinib,0
BT-20,Olaparib,JQ1,0
PA-TU-8988T,Lapatinib,Olaparib,0
COLO-824,Gemcitabine,SCH772984,0
YAPC,LGK974,Galunisertib,0
ZR-75-1,Palbociclib,PD173074,0
MDA-MB-468,Bortezomib,Doramapimod,0
CAL-120,Bortezomib,Sorafenib,0
EFM-192A,Bortezomib,Linsitinib,0
COLO-320-HSR,Palbociclib,Trametinib,0
SW1463,Dabrafenib,Palbociclib,0
SK-CO-1,Trametinib,AZD7762,0
LoVo,SB505124,Olaparib,0
EFM-19,MK-1775,NU7441,0
COLO-205,Afatinib,Vinorelbine,0
PSN1,Galunisertib,Linsitinib,0
MIA-PaCa-2,Sorafenib,AZD7762,0
BT-20,Trametinib,Entinostat,0
T84,MK-2206,SB216763,0
HCC1428,Lapatinib,AZD8055,0
MFM-223,Pictilisib,Alpelisib,0
MCF7,PD173074,Gemcitabine,0
EFM-192A,Pictilisib,Olaparib,0
CAMA-1,Axitinib,Palbociclib,0
COLO-824,Lapatinib,Docetaxel,0
LS-411N,Trametinib,SB216763,0
AU565,Sapitinib,RO-3306,0
MDA-MB-175-VII,MK-2206,Temozolomide,0
GP5d,Trametinib,Dabrafenib,0
MDA-MB-415,Pictilisib,Taselisib,0
MCF7,Lapatinib,Sapitinib,0
EFM-192A,Gemcitabine,Linsitinib,0
MRK-nu-1,5-Fluorouracil,Navitoclax,0
BT-20,Cisplatin,Bortezomib,0
HCC1806,AZD7762,Taselisib,0
MDA-MB-415,Lapatinib,GSK269962A,0
HCT-116,Olaparib,Camptothecin,0
CCK-81,Dabrafenib,AZD7762,0
HDQ-P1,Luminespib,MK-2206,0
BT-474,Vorinostat,GSK269962A,0
OCUB-M,Sapitinib,NU7441,0
SU8686,Paclitaxel,Palbociclib,0
T47D,Sapitinib,MK-1775,0
SW1116,AZD4547,Trametinib,0
PA-TU-8902,Gemcitabine,SCH772984,0
EVSA-T,Palbociclib,Navitoclax,0
ZR-75-30,Cisplatin,Temozolomide,0
CW-2,SB216763,Oxaliplatin,0
KP-1N,MK-2206,Erlotinib,0
MRK-nu-1,AZD7762,Docetaxel,0
HCC1569,Gemcitabine,ZM447439,0
SK-CO-1,Camptothecin,Olaparib,1
EFM-192A,Olaparib,Afatinib,0
HCC1806,Bortezomib,Cisplatin,0
MCF7,Temozolomide,BI-2536,0
MDA-MB-453,Temozolomide,NU7441,0
HCC1806,MK-1775,5-Fluorouracil,0
HuP-T4,Taselisib,Lapatinib,0
HCC1395,5-Fluorouracil,Docetaxel,0
HPAC,AZD7762,Dactolisib,0
MDST8,Afatinib,BMS-754807,0
SNU-C2B,Oxaliplatin,Olaparib,0
SW1990,Paclitaxel,Ruxolitinib,0
MDA-MB-415,MK-1775,AZD7762,0
SNU-C5,Camptothecin,Vinorelbine,0
MDA-MB-175-VII,Docetaxel,Luminespib,0
EFM-192A,Taselisib,Navitoclax,1
MDA-MB-468,OSI-027,Gemcitabine,0
MDA-MB-157,Taselisib,Luminespib,0
ZR-75-30,5-Fluorouracil,Gemcitabine,0
HDQ-P1,MK-2206,SB216763,0
EFM-19,OSI-027,Tozasertib,0
MDA-MB-175-VII,PD173074,Venetoclax,0
PANC-04-03,LGK974,Palbociclib,0
HCC1428,Gemcitabine,Venetoclax,0
MDA-MB-415,Axitinib,Cisplatin,0
PANC-04-03,Dasatinib,Gemcitabine,0
PANC-04-03,Paclitaxel,Erlotinib,0
EFM-19,Vorinostat,Navitoclax,0
MDA-MB-453,Cisplatin,NU7441,0
PANC-04-03,Irinotecan,SCH772984,0
SW837,SB216763,AZD8055,0
KP-2,MK-2206,Linsitinib,0
NCI-H747,Palbociclib,Oxaliplatin,0
MDA-MB-175-VII,MK-1775,Docetaxel,0
SNU-175,Taselisib,Vinorelbine,0
HT55,SB505124,Vinorelbine,0
MCF7,Vorinostat,KU-55933,0
PA-TU-8902,MK-2206,Erlotinib,0
PANC-10-05,LGK974,Ruxolitinib,0
OCUB-M,Linsitinib,Bortezomib,0
CAL-51,Temozolomide,Doramapimod,0
HCC1419,MK-2206,PD173074,0
