drug_names,drug_types
Dasatinib,0
Taselisib,0
PD173074,1
Trametinib,0
SB216763,0
Ribociclib,1
SCH772984,1
AZD6482,1
Temozolomide,0
Galunisertib,1
PF-4708671,0
Pictilisib,0
Vinorelbine,0
Dactolisib,1
Lapatinib,0
AZD8055,0
Erlotinib,0
Bortezomib,0
Sapitinib,0
Venetoclax,1
BI-2536,0
NU7441,1
Afatinib,1
Camptothecin,1
Doramapimod,0
LGK974,1
Docetaxel,0
Luminespib,0
Palbociclib,1
Linsitinib,1
Crizotinib,0
Tozasertib,1
Gemcitabine,0
SB505124,0
Vorinostat,0
Dabrafenib,0
Uprosertib,0
GSK269962A,0
KU-55933,1
Oxaliplatin,0
MK-1775,1
AZD4547,0
RO-3306,1
Alisertib,0
5-Fluorouracil,1
Wee1 Inhibitor,0
Alpelisib,1
Paclitaxel,1
Nilotinib,1
AZD7762,0
Irinotecan,1
OSI-027,0
Cisplatin,0
ZM447439,0
Ruxolitinib,0
MK-2206,0
Axitinib,1
Sorafenib,0
Entinostat,0
JQ1,0
Olaparib,1
BMS-754807,0
Navitoclax,0
