drug_names,drug_types
Dasatinib,0
Taselisib,0
PD173074,1
Trametinib,0
SB216763,0
Ribociclib,1
SCH772984,1
AZD6482,1
Temozolomide,0
Galunisertib,0
PF-4708671,0
Pictilisib,1
Vinorelbine,1
Dactolisib,0
Lapatinib,0
AZD8055,1
Erlotinib,0
Bortezomib,1
Sapitinib,1
Venetoclax,1
BI-2536,0
NU7441,1
Afatinib,0
Camptothecin,1
Doramapimod,0
LGK974,0
Docetaxel,0
Luminespib,0
Palbociclib,0
Linsitinib,1
Crizotinib,0
Tozasertib,1
Gemcitabine,1
SB505124,0
Vorinostat,1
Dabrafenib,0
Uprosertib,0
GSK269962A,1
KU-55933,0
Oxaliplatin,0
MK-1775,1
AZD4547,1
RO-3306,1
Alisertib,1
5-Fluorouracil,1
Wee1 Inhibitor,0
Alpelisib,1
Paclitaxel,1
Nilotinib,1
AZD7762,1
Irinotecan,1
OSI-027,1
Cisplatin,1
ZM447439,0
Ruxolitinib,0
MK-2206,0
Axitinib,0
Sorafenib,1
Entinostat,0
JQ1,1
Olaparib,1
BMS-754807,0
Navitoclax,1
