,id,anchor_names,library_names,AUPRC,F1,BACC,KAPPA,num_pos,data_num
0,0,Taselisib,Luminespib,,0.0,1.0,,0,50
1,1,SCH772984,Gemcitabine,0.1,0.0,0.5,0.0,1,29
2,2,Bortezomib,Alisertib,,0.0,1.0,,0,49
3,3,Bortezomib,Venetoclax,0.041666666666666664,0.0,0.48936170212765956,-0.021276595744680993,1,48
4,4,BMS-754807,Afatinib,0.277445269990027,0.28571428571428575,0.5868421052631579,0.23487544483985756,5,43
5,5,MK-2206,Oxaliplatin,,0.0,1.0,,0,73
6,6,SB505124,SB216763,0.5271164021164021,0.0,0.5,0.0,2,44
7,7,Cisplatin,AZD6482,,0.0,1.0,,0,49
8,8,Trametinib,Paclitaxel,0.7936507936507937,0.0,0.5,0.0,3,77
9,9,Galunisertib,Linsitinib,0.020833333333333332,0.0,0.5,0.0,1,29
10,10,Luminespib,MK-2206,,0.0,1.0,,0,51
11,11,Navitoclax,RO-3306,0.6979085006649324,0.6190476190476191,0.6715927750410509,0.34318555008210183,21,50
12,12,BMS-754807,Trametinib,0.5105822657817565,0.5,0.6736111111111112,0.43103448275862066,8,44
13,13,MK-2206,Camptothecin,0.07201319272257488,0.0,0.5,0.0,3,92
14,14,Dasatinib,Paclitaxel,0.10753676470588236,0.28571428571428575,0.6730769230769231,0.2045454545454547,2,28
15,15,Olaparib,Camptothecin,0.08712121212121213,0.0,0.5,0.0,2,92
16,16,Dasatinib,Palbociclib,1.0,0.0,0.5,0.0,1,28
17,17,Gemcitabine,PF-4708671,0.011904761904761904,0.0,0.5,0.0,1,50
18,18,SB505124,Afatinib,,0.0,0.9767441860465116,0.0,0,43
19,19,Temozolomide,SB216763,,0.0,1.0,,0,50
20,20,Gemcitabine,Vorinostat,,0.0,1.0,,0,52
21,21,Sapitinib,SCH772984,0.5401058433323578,0.4,0.6611111111111111,0.3841059602649006,3,93
22,22,Linsitinib,Sapitinib,0.6072013031464044,0.5490196078431373,0.7057562767911819,0.38334284084426706,23,94
23,23,Dasatinib,Cisplatin,,0.0,1.0,,0,29
24,24,Pictilisib,Dabrafenib,0.07142857142857142,0.0,0.5,0.0,1,49
25,25,Lapatinib,GSK269962A,0.14088683108079658,0.0,0.4891304347826087,-0.03305785123966953,4,50
26,26,Docetaxel,5-Fluorouracil,,0.0,1.0,,0,52
27,27,AZD4547,AZD7762,,0.0,1.0,,0,44
28,28,OSI-027,Ribociclib,0.08333333333333333,0.0,0.5,0.0,1,48
29,29,Pictilisib,RO-3306,,0.0,1.0,,0,50
30,30,Oxaliplatin,SB216763,0.041666666666666664,0.0,0.5,0.0,1,44
31,31,PD173074,Venetoclax,,0.0,1.0,,0,48
32,32,Dactolisib,MK-1775,,0.0,1.0,,0,29
33,33,Olaparib,Wee1 Inhibitor,,0.0,1.0,,0,48
34,34,Gemcitabine,Palbociclib,,0.0,1.0,,0,79
35,35,Pictilisib,Alisertib,0.4392857142857143,0.28571428571428575,0.6340579710144928,0.23197492163009403,3,49
36,36,Linsitinib,SB216763,0.21180555555555555,0.0,0.4945652173913043,-0.014388489208633004,2,94
37,37,PD173074,Cisplatin,0.16666666666666666,0.0,0.49019607843137253,-0.019607843137255054,1,52
38,38,Pictilisib,JQ1,0.11885006166536974,0.28571428571428575,0.6027777777777779,0.23197492163009403,4,49
39,39,Trametinib,Gemcitabine,0.14356066500674344,0.0,0.4935064935064935,-0.019108280254777066,3,80
40,40,Taselisib,Nilotinib,1.0,0.0,0.5,0.0,2,49
41,41,Palbociclib,LGK974,,0.0,1.0,,0,73
42,42,Palbociclib,Dasatinib,1.0,0.0,0.5,0.0,1,28
43,43,SB216763,LGK974,,0.0,1.0,,0,44
44,44,Luminespib,5-Fluorouracil,0.07142857142857142,0.0,0.5,0.0,1,52
45,45,Cisplatin,AZD7762,0.661719642212282,0.5833333333333334,0.7577413479052824,0.41740412979351027,18,79
46,46,Palbociclib,Navitoclax,,0.0,1.0,,0,125
47,47,Sorafenib,Irinotecan,,0.0,1.0,,0,29
48,48,Vinorelbine,SB505124,,0.0,1.0,,0,44
49,49,Vinorelbine,Crizotinib,,0.0,1.0,,0,44
50,50,Ruxolitinib,Linsitinib,,0.0,1.0,,0,29
51,51,MK-2206,Sapitinib,0.6938320102458582,0.6250000000000001,0.7556644213104715,0.49672813801308746,23,94
52,52,Trametinib,Sapitinib,0.24345090728723257,0.24999999999999994,0.5761226725082147,0.14111675126903556,11,94
53,53,MK-1775,Sapitinib,0.04888424627965235,0.0,0.489010989010989,-0.026200873362445476,3,94
54,54,Cisplatin,Axitinib,0.011904761904761904,0.0,0.5,0.0,1,51
55,55,Lapatinib,Bortezomib,1.0,0.0,0.5,0.0,1,51
56,56,Trametinib,Erlotinib,0.8512626262626262,0.7692307692307692,0.8344155844155845,0.7030716723549488,7,29
57,57,5-Fluorouracil,ZM447439,0.07142857142857142,0.0,0.5,0.0,1,49
58,58,Gemcitabine,Crizotinib,,0.0,1.0,,0,79
59,59,Olaparib,Palbociclib,,0.0,1.0,,0,123
60,60,Cisplatin,SB216763,,0.0,1.0,,0,50
61,61,MK-1775,Gemcitabine,0.5619936145347697,0.6557377049180328,0.7648809523809523,0.45876288659793807,24,80
62,62,Vorinostat,Navitoclax,0.1679373635409713,0.25,0.5650793650793651,0.11614730878186963,7,52
63,63,Vinorelbine,MK-2206,0.49652733725769954,0.5,0.6614583333333334,0.36046511627906974,12,44
64,64,Luminespib,OSI-027,0.05810276679841898,0.0,0.5,0.0,2,51
65,65,Temozolomide,MK-2206,,0.0,1.0,,0,51
66,66,Galunisertib,Crizotinib,,0.0,1.0,,0,29
67,67,Afatinib,Palbociclib,0.07142857142857142,0.0,0.4883720930232558,-0.023255813953488413,1,44
68,68,Lapatinib,Docetaxel,,0.0,0.9807692307692307,0.0,0,52
69,69,Temozolomide,Ribociclib,,0.0,1.0,,0,48
70,70,Docetaxel,Sorafenib,,0.0,1.0,,0,50
71,71,Olaparib,Entinostat,0.023809523809523808,0.0,0.5,0.0,1,49
72,72,Pictilisib,AZD8055,,0.0,0.98,0.0,0,50
73,73,5-Fluorouracil,Irinotecan,,0.0,1.0,,0,29
74,74,Temozolomide,Sorafenib,,0.0,1.0,,0,50
75,75,SB216763,BMS-754807,0.05903679653679653,0.0,0.5,0.0,2,44
76,76,Trametinib,Olaparib,0.03994065456254774,0.0,0.5,0.0,2,122
77,77,MK-2206,Olaparib,0.07034632034632035,0.0,0.5,0.0,2,122
78,78,Cisplatin,Olaparib,0.07142857142857142,0.0,0.5,0.0,1,78
79,79,BMS-754807,MK-1775,,0.0,1.0,,0,44
80,80,Navitoclax,Ruxolitinib,0.023809523809523808,0.0,0.5,0.0,1,29
81,81,Vorinostat,Dabrafenib,,0.0,1.0,,0,49
82,82,OSI-027,Dabrafenib,,0.0,1.0,,0,49
